REGION,REGIONCODE,DISTRICT,DISTRICTCODE,WARD,WARDCODE,STREET,PLACES
DAR-ES-SALAAM,11,ILALA CBD,11,KIVUKONI,11101,KIVUKONI,
DAR-ES-SALAAM,11,ILALA CBD,11,KIVUKONI,11101,SEA VIEW,
DAR-ES-SALAAM,11,ILALA CBD,11,UPANGA MASHARIKI,11102,KITONGA,
DAR-ES-SALAAM,11,ILALA CBD,11,UPANGA MASHARIKI,11102,KIBASILA,
DAR-ES-SALAAM,11,ILALA CBD,11,UPANGA MAGHARIBI,11103,FIRE,
DAR-ES-SALAAM,11,ILALA CBD,11,UPANGA MAGHARIBI,11103,CHARAMBE,
DAR-ES-SALAAM,11,ILALA CBD,11,UPANGA MAGHARIBI,11103,MFAUME,
DAR-ES-SALAAM,11,ILALA CBD,11,KISUTU,11104,KISUTU,
DAR-ES-SALAAM,11,ILALA CBD,11,KISUTU,11104,MTENDENI,
DAR-ES-SALAAM,11,ILALA CBD,11,MCHAFUKOGE,11105,KITUMBINI,
DAR-ES-SALAAM,11,ILALA CBD,11,MCHAFUKOGE,11105,MCHAFUKOGE,
DAR-ES-SALAAM,11,ILALA CBD,11,KARIAKOO,11106,KARIAKOO MAGHARIBI,
DAR-ES-SALAAM,11,ILALA CBD,11,KARIAKOO,11106,KARIAKOO KASKAZINI,
DAR-ES-SALAAM,11,ILALA CBD,11,KARIAKOO,11106,KARIAKOO MASHARIKI,
DAR-ES-SALAAM,11,ILALA CBD,11,GEREZANI,11107,GEREZANI MASHARIKI,
DAR-ES-SALAAM,11,ILALA CBD,11,GEREZANI,11107,GEREZANI MAGHARIBI,
DAR-ES-SALAAM,11,ILALA CBD,11,JANGWANI,11108,UKOMBOZI,
DAR-ES-SALAAM,11,ILALA CBD,11,JANGWANI,11108,MNAZI MMOJA,
DAR-ES-SALAAM,11,ILALA CBD,11,JANGWANI,11108,"MTAMBANI ""A""",
DAR-ES-SALAAM,11,ILALA CBD,11,JANGWANI,11108,"MTAMBANI ""B""",
DAR-ES-SALAAM,11,ILALA CBD,11,MCHIKICHINI,11109,MISSION QUARTER,
DAR-ES-SALAAM,11,ILALA CBD,11,MCHIKICHINI,11109,ILALA KOTA,
