REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
DODOMA,41,"DODOMA
CBD",411,UHURU,41101,KIPANDE,
DODOMA,41,"DODOMA
CBD",411,UHURU,41101,MJI MPYA,
DODOMA,41,"DODOMA
CBD",411,UHURU,41101,UHURU,
DODOMA,41,"DODOMA
CBD",411,UHURU,41101,KATI,
DODOMA,41,"DODOMA
CBD",411,VIWANDANI,41102,KINYALI,
DODOMA,41,"DODOMA
CBD",411,VIWANDANI,41102,SAMORA,
DODOMA,41,"DODOMA
CBD",411,VIWANDANI,41102,MARIJANI,
DODOMA,41,"DODOMA
CBD",411,VIWANDANI,41102,BARUTI,
DODOMA,41,"DODOMA
CBD",411,VIWANDANI,41102,TOFIKI,
DODOMA,41,"DODOMA
CBD",411,MADUKANI,41103,KAMILI,
DODOMA,41,"DODOMA
CBD",411,MADUKANI,41103,JAMAL,
DODOMA,41,"DODOMA
CBD",411,MADUKANI,41103,MMASI,
DODOMA,41,"DODOMA
CBD",411,MADUKANI,41103,SULULU,
DODOMA,41,"DODOMA
CBD",411,MADUKANI,41103,RELINI,
DODOMA,41,"DODOMA
CBD",411,TAMBUKARELI,41104,RELI,
DODOMA,41,"DODOMA
CBD",411,TAMBUKARELI,41104,SALIMINI,
DODOMA,41,"DODOMA
CBD",411,TAMBUKARELI,41104,SECHELELA,
DODOMA,41,"DODOMA
CBD",411,TAMBUKARELI,41104,AMANI,
DODOMA,41,"DODOMA
CBD",411,MAKOLE,41105,CHIMULI,
DODOMA,41,"DODOMA
CBD",411,MAKOLE,41105,CHADULU 'B',
DODOMA,41,"DODOMA
CBD",411,MAKOLE,41105,MAKOLE,
DODOMA,41,"DODOMA
CBD",411,MAKOLE,41105,NATIONAL HOUSING,
DODOMA,41,"DODOMA
CBD",411,MAJENGO,41106,FATINA,
DODOMA,41,"DODOMA
CBD",411,MAJENGO,41106,MAUSI,
DODOMA,41,"DODOMA
CBD",411,MAJENGO,41106,MNYAMPALA,
DODOMA,41,"DODOMA
CBD",411,MAJENGO,41106,KITENGE,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,MEDELI,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,MWANGAZA,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,BWAWANI,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,NJEDENGWA EAST,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,NJEDENGWA WEST,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,MSANGALALE MASHARIKI,
DODOMA,41,"DODOMA
CBD",411,DODOMA MAKULU,41107,MSANGALALE MAGHARIBI,
DODOMA,41,"DODOMA
CBD",411,HAZINA,41108,KINYAMBWA,
DODOMA,41,"DODOMA
CBD",411,HAZINA,41108,MLEZI,
DODOMA,41,"DODOMA
CBD",411,HAZINA,41108,HAZINA,
DODOMA,41,"DODOMA
CBD",411,HAZINA,41108,ITEGA,
DODOMA,41,"DODOMA
CBD",411,CHAMWINO,41109,MWAJA,
DODOMA,41,"DODOMA
CBD",411,CHAMWINO,41109,SOKOINE,
DODOMA,41,"DODOMA
CBD",411,CHAMWINO,41109,NDUKA,
DODOMA,41,"DODOMA
CBD",411,CHAMWINO,41109,MAILIMBILI,
DODOMA,41,"DODOMA
CBD",411,KILIMANI,41110,KILIMANI,
