REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
GEITA,30,GEITA,301,KALANGALALA,30101,NYERERE ROAD,
GEITA,30,GEITA,301,KALANGALALA,30101,NYANZA,
GEITA,30,GEITA,301,KALANGALALA,30101,MSALALA ROAD,
GEITA,30,GEITA,301,KALANGALALA,30101,MISSION,
GEITA,30,GEITA,301,KALANGALALA,30101,KIVUKONI,
GEITA,30,GEITA,301,KALANGALALA,30101,MBUNGANI,
GEITA,30,GEITA,301,KALANGALALA,30101,KATOMA,
GEITA,30,GEITA,301,KALANGALALA,30101,LWENGE,
GEITA,30,GEITA,301,KALANGALALA,30101,UJAMAA,
GEITA,30,GEITA,301,KALANGALALA,30101,TAMBUKA RELI,
GEITA,30,GEITA,301,KALANGALALA,30101,MKOANI,
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,SENTA
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,NG'WABAGIKULU
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,IKAMAJA
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,"BUKUMBI ""A"""
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,"BUKUMBI ""B"""
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,"NYANZUMULA ""A"""
GEITA,30,GEITA,301,KAMHANGA,30102,KISHINDA,"NYANZUMLA ""B"""
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,SENTA
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,NG’WANGIKA
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,KABUYANGE
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,NYALUMAMBO
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,NG'WABALUHI
GEITA,30,GEITA,301,KAMHANGA,30102,KAMHANGA,ILAGAJA
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,SENTA
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,SEKAGI “A”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,SEKAGI “B”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,NYANDEKWA
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,KISIWANI “A”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,KISIWANI “B”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,NYAMISESE “A”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,NYAMISESE “B”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,IGALIHYA “A”
GEITA,30,GEITA,301,KAMHANGA,30102,MKOLANI II,IGALIHYA “B”
GEITA,30,GEITA,301,KAMHANGA,30102,ISAMILO,MLIMANI
GEITA,30,GEITA,301,KAMHANGA,30102,ISAMILO,MWABASABI
GEITA,30,GEITA,301,KAMHANGA,30102,ISAMILO,ISENI
GEITA,30,GEITA,301,KAMHANGA,30102,ISAMILO,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,KABUYOMBO,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,N.M.C,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,KASAMWA,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,NYAKAHONGOLA,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,KIGOMA ROAD,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,NYAMPA,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,NYABUBELE,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,NYAMAHUNA,SENTA
GEITA,30,GEITA,301,KASAMWA,30103,KASAMWA,SENTA
GEITA,30,GEITA,301,IHANAMILO,30104,IKULWA,SENTA
GEITA,30,GEITA,301,IHANAMILO,30104,WIGEMBYA,SENTA
GEITA,30,GEITA,301,IHANAMILO,30104,NYAKAHENGELE,SENTA
GEITA,30,GEITA,301,IHANAMILO,30104,IGENGE,NYAKAHENGELE B
GEITA,30,GEITA,301,IHANAMILO,30104,IGENGE,MLEHE
GEITA,30,GEITA,301,IHANAMILO,30104,IGENGE,SENTA
GEITA,30,GEITA,301,IHANAMILO,30104,IGENGE,MISESE
GEITA,30,GEITA,301,IHANAMILO,30104,BUNEGEZI,BUGANDO
GEITA,30,GEITA,301,IHANAMILO,30104,BUNEGEZI,MWABASABI
GEITA,30,GEITA,301,IHANAMILO,30104,BUNEGEZI,MISESE
GEITA,30,GEITA,301,IHANAMILO,30104,BUNEGEZI,SENTA
GEITA,30,GEITA,301,NYAKAMWAGA,30105,NYAKAMWAGA,KISOMOKO “A”
GEITA,30,GEITA,301,NYAKAMWAGA,30105,NYAKAMWAGA,KISOMOKO “B”
GEITA,30,GEITA,301,NYAKAMWAGA,30105,NYAKAMWAGA,KATOBOLWA
GEITA,30,GEITA,301,NYAKAMWAGA,30105,NYAKAMWAGA,IBANDA
GEITA,30,GEITA,301,NYAKAMWAGA,30105,NYAKAMWAGA,GENGESABA
