REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,MIGOMBANI,
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,IDUNDA,
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,FRELIMO 'A',
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,DARAJANI,
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,KONDOA,
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,KANISANI,
IRINGA,51,IRINGA CBD,511,MIVINJENI,51101,MJIMWEMA,
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,MSHINDO 'A',
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,MSHINDO 'B',
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,BENKI,
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,MSIKITI,
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,RUAHA,
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,MTWA 'A',
IRINGA,51,IRINGA CBD,511,MSHINDO,51102,MTWA 'B',
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,STENDI KUU,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,MIYOMBONI,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,JAMAT,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,MAWENI,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,LEGEZAMWENDO,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,MADRASA,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,KITANZINI,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,MLIMANI,
IRINGA,51,IRINGA CBD,511,KITANZINI,51103,POLISI LINE,
IRINGA,51,IRINGA CBD,511,MAKORONGONI,51104,MSICHOKE,
IRINGA,51,IRINGA CBD,511,MAKORONGONI,51104,MKWAWA ROAD,
IRINGA,51,IRINGA CBD,511,MAKORONGONI,51104,KAGUO,
