REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
KAGERA,35,BUKOBA CBD,351,BUKOBA,35101,NYAKANYASI,
KAGERA,35,BUKOBA CBD,351,BUKOBA,35101,FORODHANI,
KAGERA,35,BUKOBA CBD,351,BUKOBA,35101,MTONI,
KAGERA,35,BUKOBA CBD,351,BUKOBA,35101,BUYEKERA ASILI,
KAGERA,35,BUKOBA CBD,351,BUKOBA,35101,KAFUTI,
KAGERA,35,BUKOBA CBD,351,BILELE,35102,OMUKIGUSHA,
KAGERA,35,BUKOBA CBD,351,BILELE,35102,UHURU,
KAGERA,35,BUKOBA CBD,351,BILELE,35102,ZAMZAM,
KAGERA,35,BUKOBA CBD,351,BILELE,35102,JAMHURI,
KAGERA,35,BUKOBA CBD,351,BUHEMBE,35103,BULIBATA,
KAGERA,35,BUKOBA CBD,351,BUHEMBE,35103,KYASHA,
KAGERA,35,BUKOBA CBD,351,BUHEMBE,35103,TUNGAMO,
KAGERA,35,BUKOBA CBD,351,HAMUGEMBE,35104,KABANGAMILEMBE,
KAGERA,35,BUKOBA CBD,351,HAMUGEMBE,35104,KASHABO,
KAGERA,35,BUKOBA CBD,351,HAMUGEMBE,35104,OMUKISHENYE,
KAGERA,35,BUKOBA CBD,351,HAMUGEMBE,35104,NYANGOYE,
KAGERA,35,BUKOBA CBD,351,IJUGANYONDO,35105,IJUGANYONDO'' A'',
KAGERA,35,BUKOBA CBD,351,IJUGANYONDO,35105,IJUNGANYONDO ''B'',
KAGERA,35,BUKOBA CBD,351,IJUGANYONDO,35105,KABALE KANGAIZA,
KAGERA,35,BUKOBA CBD,351,KAGONDO,35106,KAGONDOKARUGURU,
KAGERA,35,BUKOBA CBD,351,KAGONDO,35106,KAGONDO KAIFO,
KAGERA,35,BUKOBA CBD,351,KAGONDO,35106,KYAMUZINGA,
KAGERA,35,BUKOBA CBD,351,KAHORORO,35107,RWAZI,
KAGERA,35,BUKOBA CBD,351,KAHORORO,35107,KYAYA,
KAGERA,35,BUKOBA CBD,351,KAHORORO,35107,MAKONGO,
KAGERA,35,BUKOBA CBD,351,KAHORORO,35107,BUSHWA,
KAGERA,35,BUKOBA CBD,351,KAHORORO,35107,BUNUKANGOMA,
KAGERA,35,BUKOBA CBD,351,KASHAI,35108,KASHAI HALISI,
KAGERA,35,BUKOBA CBD,351,KASHAI,35109,MATOPENI,
KAGERA,35,BUKOBA CBD,351,KASHAI,35110,KISINDI,
KAGERA,35,BUKOBA CBD,351,KASHAI,35111,KASHENYE,
KAGERA,35,BUKOBA CBD,351,KASHAI,35112,MAFUMBO,
KAGERA,35,BUKOBA CBD,351,KASHAI,35113,RWOME,
KAGERA,35,BUKOBA CBD,351,KASHAI,35114,KATATORWANSO,
KAGERA,35,BUKOBA CBD,351,KASHAI,35115,NHC,
KAGERA,35,BUKOBA CBD,351,KASHAI,35116,KILIMAHEWA,
KAGERA,35,BUKOBA CBD,351,KIBETA,35109,OMUKIBETA,
KAGERA,35,BUKOBA CBD,351,KIBETA,35110,OMUKITULI,
KAGERA,35,BUKOBA CBD,351,KIBETA,35111,ANYAMA,
KAGERA,35,BUKOBA CBD,351,KIBETA,35112,NYAMULUGO,
KAGERA,35,BUKOBA CBD,351,KIBETA,35113,MAGOTI,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35110,KANAZI,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35111,BUGAMBAKAMOI,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35112,KAGEMU,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35113,KIGAZE,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35114,BUSIMBE 'A',
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35115,BUSIMBE 'B',
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35116,KYAMUHUMULA,
KAGERA,35,BUKOBA CBD,351,KITENDAGURO,35117,KALELABANA,
KAGERA,35,BUKOBA CBD,351,MIEMBENI,35111,JAMHURI,
KAGERA,35,BUKOBA CBD,351,MIEMBENI,35112,NYAMUKAZI,
KAGERA,35,BUKOBA CBD,351,MIEMBENI,35113,PEPSI,
KAGERA,35,BUKOBA CBD,351,MIEMBENI,35114,MUSIRA,
KAGERA,35,BUKOBA CBD,351,MIEMBENI,35115,PWANI,
KAGERA,35,BUKOBA CBD,351,NSHAMBYA,35112,MIGERA,
KAGERA,35,BUKOBA CBD,351,NSHAMBYA,35113,BUNKANGO,
KAGERA,35,BUKOBA CBD,351,NSHAMBYA,35114,BUSHAGA,
KAGERA,35,BUKOBA CBD,351,NYANGA,35113,RUBUMBA,
KAGERA,35,BUKOBA CBD,351,NYANGA,35114,IHYORO,
KAGERA,35,BUKOBA CBD,351,NYANGA,35115,KYAMYOSI,
KAGERA,35,BUKOBA CBD,351,NYANGA,35116,NYARUBANJA,
KAGERA,35,BUKOBA CBD,351,NYANGA,35117,KYAKAIRABWA,
KAGERA,35,BUKOBA CBD,351,RWAMISHENYE,35114,CHEMBA,
KAGERA,35,BUKOBA CBD,351,RWAMISHENYE,35115,KAMIZILENTE,
KAGERA,35,BUKOBA CBD,351,RWAMISHENYE,35116,NHC,
KAGERA,35,BUKOBA CBD,351,RWAMISHENYE,35117,RWAMISHENYE,
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,BUGURUKA
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,IRANGALA
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,RUKINDO
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,BUNYONYA
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,KIGARIKA
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,KAMULEBI 'B'
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,KYATO 'A'
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,BWEIGIRO
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,KYATO 'B'
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,RUSHAKA,KAMULEBI 'A'
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,BUSHAGARA,MULONGO
KAGERA,35,BUKOBA,352,BEHENDANGABO,35201,BUSHAGARA,KAHIJA
