REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
KATAVI,50,MPANDA -CBD,501,KAWAJENSE,50101,KAWAJENSE,
KATAVI,50,MPANDA -CBD,501,KAWAJENSE,50101,MAJENGO MAPYA,
KATAVI,50,MPANDA -CBD,501,KAWAJENSE,50101,IKULU,
KATAVI,50,MPANDA -CBD,501,ILEMBO,50102,ILEMBO,
KATAVI,50,MPANDA -CBD,501,ILEMBO,50102,KASIMBA,
KATAVI,50,MPANDA -CBD,501,ILEMBO,50102,MAPINDUZI,
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MISUNKUMILO,
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,KAMPUNI,
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MTEMI BEDA,
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,JERAMANGA A
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,JERAMANGA B
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,JERAMANGA C
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,JERAMANGA D
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,JERAMANGA E
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,KATYASHO A
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,KATYASHO B
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,KATYASHO C
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,KIGWA
KATAVI,50,MPANDA -CBD,501,MISUNKUMILO,50103,MILALA,SHONGOMABANINI
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,NSEMULWA,
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,MIGAZINI,
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,KILIMANI,
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,KICHANGANI,
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,TULIENI,
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,WACHAWASEME
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,MLIMANI A
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,RELINI
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,SHANKALA WAFUGAJI
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,MLIMANI B
KATAVI,50,MPANDA -CBD,501,NSEMULWA,50104,SHANKALA,KABATINI
KATAVI,50,MPANDA -CBD,501,SHANWE,50105,SHANWE,
KATAVI,50,MPANDA -CBD,501,SHANWE,50105,KIGAMBONI,
KATAVI,50,MPANDA -CBD,501,SHANWE,50105,KIVUKONI,
KATAVI,50,MPANDA -CBD,501,SHANWE,50105,KILIMAHEWA,
KATAVI,50,MPANDA -CBD,501,KASHAULILI,50106,KASHAULILI,
KATAVI,50,MPANDA -CBD,501,KASHAULILI,50106,BUZOGWE,
KATAVI,50,MPANDA -CBD,501,KASHAULILI,50106,KOTAZI,
KATAVI,50,MPANDA -CBD,501,MPANDA HOTEL,50107,TAMBUKARELI,
KATAVI,50,MPANDA -CBD,501,MPANDA HOTEL,50107,MPANDA HOTEL,
KATAVI,50,MPANDA -CBD,501,MPANDA HOTEL,50107,MSASANI,
KATAVI,50,MPANDA -CBD,501,MAKANYAGIO,50108,MAKANYAGIO,
KATAVI,50,MPANDA -CBD,501,MAKANYAGIO,50108,KACHOMA,
KATAVI,50,MPANDA -CBD,501,MAKANYAGIO,50108,KIGOMA,
KATAVI,50,MPANDA -CBD,501,MAKANYAGIO,50108,MPADECO,
KATAVI,50,MPANDA -CBD,501,MAKANYAGIO,50108,MWANGAZA,
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAKESE,MKWAJUNI
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAKESE,MAKANISANI
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAKESE,"KAFULESI ""A"""
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAKESE,"KAFULESI ""B"""
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,MBUGANI,"MBUGANI ""A"" MASHARIKI"
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,MBUGANI,MBUGANI ‘B’ MASHARIKI
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,MBUGANI,MALUJA
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,MBUGANI,MWANGOYE
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,MBUGANI,MBUGANI ‘B’ MAGHARIBI
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAMAKUKA,ISENGULE
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAMAKUKA,IPWAGA
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAMAKUKA,"KAMAKUKA ""A"""
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAMAKUKA,"KAMAKUKA ""B"""
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAWAZINGE,MABANINI MASHARIKI
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAWAZINGE,BULIMA
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAWAZINGE,KAWANZIGE A
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAWAZINGE,JITEGEMEE
KATAVI,50,MPANDA -CBD,501,KAKESE,50109,KAWAZINGE,MWEMBENI
KATAVI,50,MPANDA -CBD,501,MAJENGO,50110,MJI MWEMA,
KATAVI,50,MPANDA -CBD,501,MAJENGO,50110,PARADIZE,
KATAVI,50,MPANDA -CBD,501,MAJENGO,50110,MALIDADI,
KATAVI,50,MPANDA -CBD,501,"UWANJA WA
NDEGE",50111,MNAZI MMOJA,
KATAVI,50,MPANDA -CBD,501,"UWANJA WA
NDEGE",50111,AIRTEL,
KATAVI,50,MPANDA -CBD,501,"UWANJA WA
NDEGE",50111,MSUFINI,
KATAVI,50,MPANDA -CBD,501,KAZIMA,50112,KAPALANGAO,
KATAVI,50,MPANDA -CBD,501,KAZIMA,50112,RUNGWA,
KATAVI,50,MPANDA -CBD,501,KAZIMA,50112,KAZIMA,
KATAVI,50,MPANDA -CBD,501,MWAMKULU,50113,NSESO,
KATAVI,50,MPANDA -CBD,501,MWAMKULU,50113,SENTA MARIA,
KATAVI,50,MPANDA -CBD,501,MWAMKULU,50113,MKOKWA,
KATAVI,50,MPANDA -CBD,501,MWAMKULU,50113,MKWAJUNI,
KATAVI,50,MPANDA -CBD,501,MWAMKULU,50113,NGUVUMALI,
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,IKULU
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,BURUNGA
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,NEW CAMP
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,MIGAZINI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,MTAKATA
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAGAMBA,BERINGI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAKONGOLO,MAKONGOLO
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAKONGOLO,IGALUKILO
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAKONGOLO,MLIMANI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAKONGOLO,MAILIKUMI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MAKONGOLO,KANONDO
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,MSANGAMA
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,KAGERA
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,MKUYUNI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,LUMUKA B
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,KAMSOFU
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,DIRIFU,IKULO
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,SOCIETY,MWENGE
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,SOCIETY,NJIA PANDA
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,SOCIETY,IKULU
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,SOCIETY,MAFUANGUO
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,MTAKUMBUKA KATI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,KABATINI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,MTAKUMBUKA KUSINI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,MTAKUMBUKA KASKAZINI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,MTAKUMBUKA MASHARIKI
KATAVI,50,MPANDA -CBD,501,MAGAMBA,50114,MTAKUMBUKA,MTAMBUKA IGONDA
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,KASOKOLA MASHARIKI A
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,KASOKOLA MAGHARIBI A
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,KASOKOLA MASHARIKI B
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,KASOKOLA MAGHARIBI B
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,KASOKOLA KATI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,MAWEMALE.
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,IVUNGWE A
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,KASOKOLA,IVUNGWE B
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,MANGA KATI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,MANGA MASHARIKI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,MANGA MAGHARIBI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,MANGA BARABARANI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,KASOLWA A
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,KASOLWA B
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,IVUNGWE
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,MANGA,KASENGA
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,SUNGAMILA,SUNGAMILA KATI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,SUNGAMILA,SUNGAMILA MAGHARIBI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,SUNGAMILA,SUNGAMILA MASHARIKI
KATAVI,50,MPANDA -CBD,501,KASOKOLA,50115,SUNGAMILA,SUNGAMILA NG'AMBO
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,ISANJANDUGU,MAPINDUZI
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,ISANJANDUGU,ISANJANDUGU
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,ISANJANDUGU,MUUNGANO
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,KANOGE,KANOGE A
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,KANOGE,KANOGE B
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,KANOGE,TUPINDO
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,KANOGE,KAVIKONGE A
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,KANOGE,KAVIKONGE B
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,MWENGE,FILIMULE
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,MWENGE,MWENGE
KATAVI,50,MPANDA -CBD,501,NSIMBO,50116,MWENGE,LEGEZAMWENDO
KATAVI,50,MPANDA -CBD,501,KAPALALA,50117,KAPALALA,IKULU
