REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
KIGOMA,47,"KIGOMA
CBD",471,KIGOMA,47101,KATONGA,
KIGOMA,47,"KIGOMA
CBD",471,KIGOMA,47101,MJI MWEMA,
KIGOMA,47,"KIGOMA
CBD",471,KIGOMA,47101,SHEDE,
KIGOMA,47,"KIGOMA
CBD",471,KIGOMA,47101,LUMUMBA,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KATONGA MASHARIKI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KATONGA MAGHARIBI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA MASHARIKI A,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA MASHARIKI B,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA MAGHARIBI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA KISIWANI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA KATI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,KAMALA KATI,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,BUTEKO,
KIGOMA,47,"KIGOMA
CBD",471,BANGWE,47102,BUTEKO,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KASKAZINI,47103,KISANGANI,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KASKAZINI,47103,MLOLE,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KASKAZINI,47103,UJENZI,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KASKAZINI,47103,UJENZI,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,KILIMA HEWA,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,MSIKITI,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,SHAURIMOYO,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,GAME,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,LUMUMBA,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,SIMU,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,YUSUFU,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,RUSIMBI,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,MUHOGWE,
KIGOMA,47,"KIGOMA
CBD",471,MWANGA KUSINI,47104,VAMIA,
