REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
KILIMANJARO,25,MOSHI CBD,251,MAWENZI,25101,HINDU,
KILIMANJARO,25,MOSHI CBD,251,MAWENZI,25101,MAWENZI,
KILIMANJARO,25,MOSHI CBD,251,KILIMANJARO,25102,KILIMANJARO,
KILIMANJARO,25,MOSHI CBD,251,KILIMANJARO,25102,MAKONGORO,
KILIMANJARO,25,MOSHI CBD,251,KILIMANJARO,25102,MAWENZI,
KILIMANJARO,25,MOSHI CBD,251,RAU,25103,KARIKACHA,
KILIMANJARO,25,MOSHI CBD,251,RAU,25103,KARIWA CHINI,
KILIMANJARO,25,MOSHI CBD,251,RAU,25103,SABASABA,
KILIMANJARO,25,MOSHI CBD,251,MAJENGO,25104,SOKONI,
KILIMANJARO,25,MOSHI CBD,251,MAJENGO,25104,MAKANGE,
KILIMANJARO,25,MOSHI CBD,251,MAJENGO,25104,SHAURIMOYO,
KILIMANJARO,25,MOSHI CBD,251,NJORO,25105,DOBI,
KILIMANJARO,25,MOSHI CBD,251,NJORO,25105,RAILWAY,
KILIMANJARO,25,MOSHI CBD,251,NJORO,25105,SOKONI,
KILIMANJARO,25,MOSHI CBD,251,NJORO,25105,VIWANDA,
KILIMANJARO,25,MOSHI CBD,251,BONDENI,25106,MBUYUNI,
KILIMANJARO,25,MOSHI CBD,251,BONDENI,25106,SOKONI,
KILIMANJARO,25,MOSHI CBD,251,KIUSA,25107,KIUSA SOKONI,
KILIMANJARO,25,MOSHI CBD,251,KIUSA,25107,KIUSA LINE,
KILIMANJARO,25,MOSHI CBD,251,KORONGONI,25108,KORONGONI,
KILIMANJARO,25,MOSHI CBD,251,KORONGONI,25108,VIJANA,
KILIMANJARO,25,MOSHI CBD,251,KORONGONI,25108,VIWANDA,
KILIMANJARO,25,MOSHI CBD,251,PASUA,25109,MAJENGO MAPYA,
KILIMANJARO,25,MOSHI CBD,251,PASUA,25109,GETI FONGA,
KILIMANJARO,25,MOSHI CBD,251,PASUA,25109,MATINDIGANI,
KILIMANJARO,25,MOSHI CBD,251,KALOLENI,25110,KALIMANI,
KILIMANJARO,25,MOSHI CBD,251,KALOLENI,25110,KALOLENI,
KILIMANJARO,25,MOSHI CBD,251,MJI MPYA,25111,KWA KOMBA,
KILIMANJARO,25,MOSHI CBD,251,MJI MPYA,25111,KWA MTEI,
KILIMANJARO,25,MOSHI CBD,251,MJI MPYA,25111,LANGONI,
KILIMANJARO,25,MOSHI CBD,251,MJI MPYA,25111,SOKONI,
KILIMANJARO,25,MOSHI CBD,251,MSARANGA,25112,MSARANGA,
KILIMANJARO,25,MOSHI CBD,251,MSARANGA,25112,MSUFINI,
KILIMANJARO,25,MOSHI CBD,251,MSARANGA,25112,RAUYA,
KILIMANJARO,25,MOSHI CBD,251,KIBORLONI,25113,KDC,
KILIMANJARO,25,MOSHI CBD,251,KIBORLONI,25113,MNAZI MMOJA,
KILIMANJARO,25,MOSHI CBD,251,KIBORLONI,25113,SOKONI,
