REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
LINDI,65,LINDI  CBD,651,MAKONDE,65101,AMANI,
LINDI,65,LINDI  CBD,651,MAKONDE,65101,SHEIKH BADI,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,MSONOBARI JUU,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,MSONOBARI CHINI,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,BENKI,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,KANISA,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,MLANDEGE,
LINDI,65,LINDI  CBD,651,MSINJAHILI,65102,TANKINI,
LINDI,65,LINDI  CBD,651,NDORO,65103,NDORO JUU,
LINDI,65,LINDI  CBD,651,NDORO,65103,NDORO CHINI,
LINDI,65,LINDI  CBD,651,NDORO,65103,NDORO KASKAZINI,
LINDI,65,LINDI  CBD,651,NDORO,65103,NDORO KUSINI,
LINDI,65,LINDI  CBD,651,MIKUMBI,65104,UGANDA,
LINDI,65,LINDI  CBD,651,MIKUMBI,65104,SHULE,
LINDI,65,LINDI  CBD,651,MIKUMBI,65104,MIKUMBI MAGHARIBI,
LINDI,65,LINDI  CBD,651,MITANDI,65105,MANISPAA,
LINDI,65,LINDI  CBD,651,MITANDI,65105,MNUBI,
LINDI,65,LINDI  CBD,651,MITANDI,65105,NAVETAVETA,
LINDI,65,LINDI  CBD,651,MITANDI,65105,IDA HOTI,
LINDI,65,LINDI  CBD,651,MITANDI,65105,JAFFU PEMBE,
LINDI,65,LINDI  CBD,651,MITANDI,65105,MAISALA,
LINDI,65,LINDI  CBD,651,RAHALEO,65106,MCHINGA ROAD,
LINDI,65,LINDI  CBD,651,RAHALEO,65106,RAHALEO,
LINDI,65,LINDI  CBD,651,RAHALEO,65106,UFUKONI,
LINDI,65,LINDI  CBD,651,RAHALEO,65106,MAJENGO,
LINDI,65,LINDI  CBD,651,MWENGE,65107,MAGOGONI,
LINDI,65,LINDI  CBD,651,MWENGE,65107,NHC,
LINDI,65,LINDI  CBD,651,MWENGE,65107,KILIMAHEWA,
LINDI,65,LINDI  CBD,651,MWENGE,65107,MWENGE,
LINDI,65,LINDI  CBD,651,MWENGE,65107,MIGOMBANI,
