REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MANYARA,27,BABATI CBD,271,BABATI,27101,MRARA,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,BABATI MJINI,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,MAISAKA  B,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,KWERE,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,HANGONI,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,MAJENGO,KITONGOJI
MANYARA,27,BABATI CBD,271,BABATI,27101,WAANG'WARAY,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,NANGARA ZIWANI,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,NANGARA KATI,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,MKUYUNI  A,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,MKUYUNI  B,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,MAWENI,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,ARRI,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,BALOWA,KITONGOJI
MANYARA,27,BABATI CBD,271,NANGARA,27102,HALLA,HALLA CHINI
MANYARA,27,BABATI CBD,271,NANGARA,27102,HALLA,HALLA JUU
MANYARA,27,BABATI CBD,271,NANGARA,27102,HALLA,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NYUNGUU,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,KOMOTO,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,OSTERBAY,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,MJI MPYA,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NGARENARO,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NEGAMSI,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,BAGARA ZIWANI,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,MIOMBONI,HALLA KATI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NAKWA,MAGENI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NAKWA,KAYTO
MANYARA,27,BABATI CBD,271,BAGARA,27103,NAKWA,BAGARA
MANYARA,27,BABATI CBD,271,BAGARA,27103,NAKWA,SIMBAKI
MANYARA,27,BABATI CBD,271,BAGARA,27103,NAKWA,SUMBI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MAISAKA  A,SUMBI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MAISAKA  KATI,SUMBI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MURUKI,SUMBI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,SAWE,SUMBI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,KIONGOZI,KIONGOZI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,KIONGOZI,MIGUNGANI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,KIONGOZI,MISUNA
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MALANGI,MALANGI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MALANGI,SINAI
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MALANGI,SAWE
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MALANGI,CHEMCHEM
MANYARA,27,BABATI CBD,271,MAISAKA,27104,MALANGI,DUDUMERA
MANYARA,27,BABATI CBD,271,SINGE,27105,GENDI KUU,DUDUMERA
MANYARA,27,BABATI CBD,271,SINGE,27105,NYAWARI,DUDUMERA
MANYARA,27,BABATI CBD,271,SINGE,27105,GENDI BARAZANI,DUDUMERA
MANYARA,27,BABATI CBD,271,SINGE,27105,MAJENGO MAPYA,DUDUMERA
MANYARA,27,BABATI CBD,271,SINGE,27105,MANAGHAT,AYAAYNE
MANYARA,27,BABATI CBD,271,SINGE,27105,MANAGHAT,SAMURE
MANYARA,27,BABATI CBD,271,SINGE,27105,MANAGHAT,DANDAAY
MANYARA,27,BABATI CBD,271,SINGE,27105,MANAGHAT,MAAYTSA
MANYARA,27,BABATI CBD,271,SINGE,27105,MANAGHAT,NAKWA
MANYARA,27,BABATI CBD,271,MUTUKA,27106,MUTUKA,SENDO A
MANYARA,27,BABATI CBD,271,MUTUKA,27106,MUTUKA,SENDO B
MANYARA,27,BABATI CBD,271,MUTUKA,27106,MUTUKA,MUTUKA
MANYARA,27,BABATI CBD,271,MUTUKA,27106,MUTUKA,SORA
MANYARA,27,BABATI CBD,271,MUTUKA,27106,CHEMCHEM,CHEMCHEM
MANYARA,27,BABATI CBD,271,MUTUKA,27106,CHEMCHEM,MOROROI
MANYARA,27,BABATI CBD,271,MUTUKA,27106,CHEMCHEM,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,DAWAR,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,BONGA MJINI,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,KANDAKA,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,AYA BADINE,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,WANGBOO,SORA
MANYARA,27,BABATI CBD,271,BONGA,27107,HARAA,URUSI
MANYARA,27,BABATI CBD,271,BONGA,27107,HARAA,HARAA
MANYARA,27,BABATI CBD,271,BONGA,27107,HARAA,KIGONGONI
MANYARA,27,BABATI CBD,271,BONGA,27107,HARAA,BUSLA
MANYARA,27,BABATI CBD,271,BONGA,27107,HIMITI,SAMURE
MANYARA,27,BABATI CBD,271,BONGA,27107,HIMITI,AYAHOMA
MANYARA,27,BABATI CBD,271,BONGA,27107,HIMITI,MIRAMBI
MANYARA,27,BABATI CBD,271,BONGA,27107,HIMITI,AMBALAKU
MANYARA,27,BABATI CBD,271,BONGA,27107,HIMITI,HARAA
MANYARA,27,BABATI CBD,271,SIGINO,27108,SIGINO,SIGINO CHINI
MANYARA,27,BABATI CBD,271,SIGINO,27108,SIGINO,HUDUMA
MANYARA,27,BABATI CBD,271,SIGINO,27108,SIGINO,CHORI
MANYARA,27,BABATI CBD,271,SIGINO,27108,SIGINO,GITORI
MANYARA,27,BABATI CBD,271,SIGINO,27108,DAGHAILOY,SAWEY
MANYARA,27,BABATI CBD,271,SIGINO,27108,DAGHAILOY,DAGHAILOY
MANYARA,27,BABATI CBD,271,SIGINO,27108,DAGHAILOY,QADUWET
MANYARA,27,BABATI CBD,271,SIGINO,27108,DAGHAILOY,WAANGBAY
MANYARA,27,BABATI CBD,271,SIGINO,27108,DAGHAILOY,NAITSORI
MANYARA,27,BABATI CBD,271,SIGINO,27108,SINGU,SINGU
MANYARA,27,BABATI CBD,271,SIGINO,27108,SINGU,KINYAMBULI
MANYARA,27,BABATI CBD,271,SIGINO,27108,SINGU,MAGARA
MANYARA,27,BABATI CBD,271,SIGINO,27108,SINGU,ENDASAGO  JUU
MANYARA,27,BABATI CBD,271,SIGINO,27108,IMBILILI,IMBILILI
MANYARA,27,BABATI CBD,271,SIGINO,27108,IMBILILI,IMBILILI KATI
MANYARA,27,BABATI CBD,271,SIGINO,27108,IMBILILI,IMBILILI CHINI
MANYARA,27,BABATI CBD,271,SIGINO,27108,IMBILILI,KASHOMO
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,MAJENGO A
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,MAJENGO B
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,WARANGI A
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,WARANGI B
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,MSIKITI
MANYARA,27,BABATI,272,MAGUGU,27201,MAGUGU,MBUGANI
MANYARA,27,BABATI,272,MAGUGU,27201,GICHAMEDA,GICHAMEDA A
MANYARA,27,BABATI,272,MAGUGU,27201,GICHAMEDA,GICHAMEDA B
MANYARA,27,BABATI,272,MAGUGU,27201,GICHAMEDA,GICHAMEDA C
MANYARA,27,BABATI,272,MAGUGU,27201,GICHAMEDA,MADIBILA
MANYARA,27,BABATI,272,MAGUGU,27201,MAPEA,MAPEA A
MANYARA,27,BABATI,272,MAGUGU,27201,MAPEA,MAPEA  B
MANYARA,27,BABATI,272,MAGUGU,27201,SARAME,TAIFA NJEMA
MANYARA,27,BABATI,272,MAGUGU,27201,SARAME,DOROBONI
MANYARA,27,BABATI,272,MAGUGU,27201,SARAME,KITETO
MANYARA,27,BABATI,272,MAGUGU,27201,SARAME,BULKERI
MANYARA,27,BABATI,272,MAGUGU,27201,SARAME,CHANGARAWE
MANYARA,27,BABATI,272,MAGUGU,27201,MASWARE,NDOROBONI
MANYARA,27,BABATI,272,MAGUGU,27201,MASWARE,KAMBI YA FISI
MANYARA,27,BABATI,272,MAGUGU,27201,MASWARE,MASWARE
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,KITONGOJI A
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,KITONGOJI  B
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,MAJENGO
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,MSIMBAZI
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,BULKER
MANYARA,27,BABATI,272,MAGUGU,27201,MAWEMAIRO,MLIMANI
MANYARA,27,BABATI,272,MAGUGU,27201,MATUFA,SAU
MANYARA,27,BABATI,272,MAGUGU,27201,MATUFA,BURENGE
MANYARA,27,BABATI,272,MAGUGU,27201,MATUFA,KICHANGANI
MANYARA,27,BABATI,272,MAGUGU,27201,MATUFA,MIGUNGANI
MANYARA,27,BABATI,272,MWADA,27202,MWADA,MBUYUNI
MANYARA,27,BABATI,272,MWADA,27202,MWADA,BURUNGE A
MANYARA,27,BABATI,272,MWADA,27202,MWADA,BURUNGE B
MANYARA,27,BABATI,272,MWADA,27202,MWADA,BONDENI
MANYARA,27,BABATI,272,MWADA,27202,NGOLEY,NGOLEY  A
MANYARA,27,BABATI,272,MWADA,27202,NGOLEY,NGOLEY  B
MANYARA,27,BABATI,272,MWADA,27202,NGOLEY,NGOLEY  C
MANYARA,27,BABATI,272,MWADA,27202,SANGAIWE,SANGAIWE
MANYARA,27,BABATI,272,MWADA,27202,SANGAIWE,GEMBO
MANYARA,27,BABATI,272,MWADA,27202,SANGAIWE,OSOLEY
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,MDORI
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,KIGONGONI
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,MAREWA
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,MAGOMENI
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,MCHEMU
MANYARA,27,BABATI,272,NKAITI,27203,VILIMA VITATU,CHANGARAWE
MANYARA,27,BABATI,272,NKAITI,27203,MINJINGU,MMAS
MANYARA,27,BABATI,272,NKAITI,27203,MINJINGU,MAKAO MAPYA
MANYARA,27,BABATI,272,NKAITI,27203,MINJINGU,MBULUGU
MANYARA,27,BABATI,272,NKAITI,27203,MINJINGU,MMAS
MANYARA,27,BABATI,272,NKAITI,27203,OLASITI,OLTUKAI
MANYARA,27,BABATI,272,NKAITI,27203,OLASITI,ELUWAI
MANYARA,27,BABATI,272,NKAITI,27203,OLASITI,KIBAONI A
MANYARA,27,BABATI,272,NKAITI,27203,OLASITI,KIBAONI B
MANYARA,27,BABATI,272,NKAITI,27203,KAKOI,SONGA MBELE A
MANYARA,27,BABATI,272,NKAITI,27203,KAKOI,KISERIAN
MANYARA,27,BABATI,272,NKAITI,27203,KAKOI,OLEYOLOSI
MANYARA,27,BABATI,272,NKAITI,27203,KAKOI,SONGA MBELE
MANYARA,27,BABATI,272,NKAITI,27203,KAKOI,SONGA MBELE B
MANYARA,27,BABATI,272,MAGARA,27204,MANYARA,MANYARA
MANYARA,27,BABATI,272,MAGARA,27204,MANYARA,JANGWANI
MANYARA,27,BABATI,272,MAGARA,27204,MANYARA,KISESE A
MANYARA,27,BABATI,272,MAGARA,27204,MANYARA,KISESE B
MANYARA,27,BABATI,272,MAGARA,27204,MANYARA,KAMBI YA SIMBA
MANYARA,27,BABATI,272,MAGARA,27204,MAYOMAYOKA,MAYOMAYOKA
MANYARA,27,BABATI,272,MAGARA,27204,MAYOMAYOKA,MAYOKA A
MANYARA,27,BABATI,272,MAGARA,27204,MAYOMAYOKA,MAYOKA B
MANYARA,27,BABATI,272,MAGARA,27204,MAGARA,MAGARA
MANYARA,27,BABATI,272,MAGARA,27204,MAGARA,NGARENARO
MANYARA,27,BABATI,272,MAGARA,27204,MAGARA,MAJEGO
MANYARA,27,BABATI,272,MAGARA,27204,MAGARA,MIGUNGANI
MANYARA,27,BABATI,272,MAGARA,27204,MAWENI,MAWENI  A
MANYARA,27,BABATI,272,MAGARA,27204,MAWENI,MAWENI  B
MANYARA,27,BABATI,272,MAGARA,27204,MAWENI,NJORO
MANYARA,27,BABATI,272,MAGARA,27204,MAWENI,MAKOLE
MANYARA,27,BABATI,272,MAGARA,27204,MAWENI,KOROMPI
MANYARA,27,BABATI,272,MAGARA,27204,MOYA,JANGWANI
MANYARA,27,BABATI,272,MAGARA,27204,MOYA,SINZA
MANYARA,27,BABATI,272,MAGARA,27204,MOYA,MTO DAGAA
MANYARA,27,BABATI,272,MAGARA,27204,MOYA,KIGONGONI
MANYARA,27,BABATI,272,MAGARA,27204,MOYA,KORONGO LA NYUNI
MANYARA,27,BABATI,272,DAREDA,27205,SELOTO,SEMAK              A
MANYARA,27,BABATI,272,DAREDA,27205,SELOTO,SEMAK              B
MANYARA,27,BABATI,272,DAREDA,27205,SELOTO,QADABRADING
MANYARA,27,BABATI,272,DAREDA,27205,SELOTO,DAKWATARA     A
MANYARA,27,BABATI,272,DAREDA,27205,SELOTO,DAKWATARA     B
MANYARA,27,BABATI,272,DAREDA,27205,LOTO,GETALONG
MANYARA,27,BABATI,272,DAREDA,27205,LOTO,DARWET
MANYARA,27,BABATI,272,DAREDA,27205,LOTO,LOTO                 A
MANYARA,27,BABATI,272,DAREDA,27205,LOTO,LOTO                 B
MANYARA,27,BABATI,272,DAREDA,27205,LOTO,UWANJA WA NDEGE
MANYARA,27,BABATI,272,DAREDA,27205,BERMI,BERMI                A
MANYARA,27,BABATI,272,DAREDA,27205,BERMI,BERMI                B
MANYARA,27,BABATI,272,DAREDA,27205,BERMI,BERMI                C
MANYARA,27,BABATI,272,DABIL,27206,MAGANJWA,MAGANJWA      A
MANYARA,27,BABATI,272,DABIL,27206,MAGANJWA,GANUWASI
MANYARA,27,BABATI,272,DABIL,27206,MAGANJWA,MUNMUNANGW'
MANYARA,27,BABATI,272,DABIL,27206,MAGANJWA,SHAMNA
MANYARA,27,BABATI,272,DABIL,27206,DABIL,DABIL
MANYARA,27,BABATI,272,DABIL,27206,DABIL,LEHODESH
MANYARA,27,BABATI,272,DABIL,27206,DABIL,MASABA
MANYARA,27,BABATI,272,DABIL,27206,DABIL,MAGANJWA      B
MANYARA,27,BABATI,272,DABIL,27206,DABIL,HOREM
MANYARA,27,BABATI,272,DABIL,27206,MANDI,MANDI MASHARIKI
MANYARA,27,BABATI,272,DABIL,27206,MANDI,MANDI MAGHARIBI
MANYARA,27,BABATI,272,DABIL,27206,MANDI,GHARANGI
MANYARA,27,BABATI,272,DABIL,27206,SABILO,BULAGHAY
MANYARA,27,BABATI,272,DABIL,27206,SABILO,GETANYAMUI
MANYARA,27,BABATI,272,DABIL,27206,SABILO,BARYOMOT
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,GIDEWARI
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,ENDADU
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,BIRSIMA
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,GETAMUR
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,ENDABANYEG
MANYARA,27,BABATI,272,DABIL,27206,GIDEWARI,QKWO
MANYARA,27,BABATI,272,BASHNET,27207,BASHNET,BASHNET KATI
MANYARA,27,BABATI,272,BASHNET,27207,BASHNET,TSAAYO
MANYARA,27,BABATI,272,BASHNET,27207,BASHNET,MASAKTA
MANYARA,27,BABATI,272,BASHNET,27207,BASHNET,MANDAGEW
MANYARA,27,BABATI,272,BASHNET,27207,BASHNET,AYAYAE
MANYARA,27,BABATI,272,BASHNET,27207,GUSE,AFANDI
MANYARA,27,BABATI,272,BASHNET,27207,GUSE,WANDUTA
MANYARA,27,BABATI,272,BASHNET,27207,GUSE,DAWATLAAMI
MANYARA,27,BABATI,272,BASHNET,27207,GUSE,MASABEDA
MANYARA,27,BABATI,272,BASHNET,27207,GUSE,GETABUSHKE
MANYARA,27,BABATI,272,BASHNET,27207,WALAHU,WALAHU KATI
MANYARA,27,BABATI,272,BASHNET,27207,WALAHU,WADRETA
MANYARA,27,BABATI,272,BASHNET,27207,WALAHU,ENDAGASKETI
MANYARA,27,BABATI,272,BASHNET,27207,WALAHU,INTISI
MANYARA,27,BABATI,272,BASHNET,27207,LONG,LONG
MANYARA,27,BABATI,272,BASHNET,27207,LONG,HHAYLOTO
MANYARA,27,BABATI,272,BASHNET,27207,LONG,ENDAW
MANYARA,27,BABATI,272,BASHNET,27207,LONG,QUNYA
MANYARA,27,BABATI,272,BASHNET,27207,LONG,AYATANGO
MANYARA,27,BABATI,272,NAR,27208,GABADAW,GABADAW
MANYARA,27,BABATI,272,NAR,27208,GABADAW,KANSAY
MANYARA,27,BABATI,272,NAR,27208,GABADAW,GETUMOKI
MANYARA,27,BABATI,272,NAR,27208,GABADAW,BASHNET JUU
MANYARA,27,BABATI,272,NAR,27208,GABADAW,KWANKWARI
MANYARA,27,BABATI,272,NAR,27208,GABADAW,BASHNET KATI
MANYARA,27,BABATI,272,NAR,27208,NAR,DAKWTLER
MANYARA,27,BABATI,272,NAR,27208,NAR,TITIWI
MANYARA,27,BABATI,272,NAR,27208,NAR,QANGHAR
MANYARA,27,BABATI,272,NAR,27208,NAR,BAJROMOT
MANYARA,27,BABATI,272,NAR,27208,NAR,QARGHARA
MANYARA,27,BABATI,272,NAR,27208,ENDAMANANG,CHEMCHEM
MANYARA,27,BABATI,272,NAR,27208,ENDAMANANG,DONYA
MANYARA,27,BABATI,272,NAR,27208,ENDAMANANG,DIGIRMO
MANYARA,27,BABATI,272,UFANA,27209,DIFFIR,DAYMBOY
MANYARA,27,BABATI,272,UFANA,27209,DIFFIR,MAGHANYA
MANYARA,27,BABATI,272,UFANA,27209,DIFFIR,DIFFIR
MANYARA,27,BABATI,272,UFANA,27209,UFANA,UFANA
MANYARA,27,BABATI,272,UFANA,27209,UFANA,SAGASAGE
MANYARA,27,BABATI,272,UFANA,27209,UFANA,DATARI
MANYARA,27,BABATI,272,UFANA,27209,UFANA,SEMONYA
MANYARA,27,BABATI,272,UFANA,27209,SAYDODA,GISGISIT
MANYARA,27,BABATI,272,UFANA,27209,SAYDODA,GIDAGAWUJI
MANYARA,27,BABATI,272,UFANA,27209,SAYDODA,ENDANGDI
MANYARA,27,BABATI,272,MADUNGA,27210,MADUNGA,ENDALAHA
MANYARA,27,BABATI,272,MADUNGA,27210,MADUNGA,NYARAT
MANYARA,27,BABATI,272,MADUNGA,27210,MADUNGA,TANGU
MANYARA,27,BABATI,272,MADUNGA,27210,MADUNGA,NGORONGORO    A
MANYARA,27,BABATI,272,MADUNGA,27210,UTWARI,TANGO
MANYARA,27,BABATI,272,MADUNGA,27210,UTWARI,GAJAL
MANYARA,27,BABATI,272,MADUNGA,27210,UTWARI,QAWLRAY
MANYARA,27,BABATI,272,MADUNGA,27210,GIDNG’WAR,QESIGE
MANYARA,27,BABATI,272,MADUNGA,27210,GIDNG’WAR,GABADAW
MANYARA,27,BABATI,272,MADUNGA,27210,GIDNG’WAR,GIDNG’WAR
MANYARA,27,BABATI,272,ENDAKISO,27211,GIJEDABUNG,KAMBINI A
MANYARA,27,BABATI,272,ENDAKISO,27211,GIJEDABUNG,KAMBINI B
MANYARA,27,BABATI,272,ENDAKISO,27211,GIJEDABUNG,NGUNGUNGU
MANYARA,27,BABATI,272,ENDAKISO,27211,GIJEDABUNG,SONGAMBELE
MANYARA,27,BABATI,272,ENDAKISO,27211,GIJEDABUNG,KISEYU
MANYARA,27,BABATI,272,ENDAKISO,27211,KWARAA,KWARAA
MANYARA,27,BABATI,272,ENDAKISO,27211,KWARAA,SANYA
MANYARA,27,BABATI,272,ENDAKISO,27211,KWARAA,KIKUYUNI
MANYARA,27,BABATI,272,ENDAKISO,27211,KWARAA,ENDAMAGHAI B
MANYARA,27,BABATI,272,ENDAKISO,27211,KWARAA,AMAGENDAI
MANYARA,27,BABATI,272,ENDAKISO,27211,ENDAKISO,ENDAMAGHAI A
MANYARA,27,BABATI,272,ENDAKISO,27211,ENDAKISO,KIFARU KATI
MANYARA,27,BABATI,272,ENDAKISO,27211,ENDAKISO,KIFARU JUU
MANYARA,27,BABATI,272,ENDAKISO,27211,ENDAKISO,SORA
MANYARA,27,BABATI,272,GALLAPO,27212,GALLAPO,GALLAPO MJINI
MANYARA,27,BABATI,272,GALLAPO,27212,GALLAPO,CHALO         A
MANYARA,27,BABATI,272,GALLAPO,27212,GALLAPO,CHALO         B
MANYARA,27,BABATI,272,GALLAPO,27212,GALLAPO,GALLAPO MISSION
MANYARA,27,BABATI,272,GALLAPO,27212,ENDANOGA,GALLAPO KATI
MANYARA,27,BABATI,272,GALLAPO,27212,ENDANOGA,TANGINI B
MANYARA,27,BABATI,272,GALLAPO,27212,ENDANOGA,TANGINI A
MANYARA,27,BABATI,272,GALLAPO,27212,ENDANOGA,NGARANARO A
MANYARA,27,BABATI,272,GALLAPO,27212,ENDANOGA,NGARANARO B
MANYARA,27,BABATI,272,GALLAPO,27212,AYAMANGO,AYAMANGO
MANYARA,27,BABATI,272,GALLAPO,27212,AYAMANGO,NANGARA
MANYARA,27,BABATI,272,GALLAPO,27212,AYAMANGO,BASODA
MANYARA,27,BABATI,272,GALLAPO,27212,AYAMANGO,MORONGI
MANYARA,27,BABATI,272,GALLAPO,27212,AYAMANGO,NGANYI
MANYARA,27,BABATI,272,GALLAPO,27212,HALLU,GEDAMAR
MANYARA,27,BABATI,272,GALLAPO,27212,HALLU,NYAMHALI
MANYARA,27,BABATI,272,GALLAPO,27212,HALLU,KISUTU
MANYARA,27,BABATI,272,GALLAPO,27212,GEDAMAR,GEDAMAR A
MANYARA,27,BABATI,272,GALLAPO,27212,GEDAMAR,GEDAMAR  B
MANYARA,27,BABATI,272,GALLAPO,27212,GEDAMAR,GEDAMAR  C
MANYARA,27,BABATI,272,QASH,27214,QASH,QASH
MANYARA,27,BABATI,272,QASH,27214,QASH,TANGINI B
MANYARA,27,BABATI,272,QASH,27214,QASH,MIGUNGANI
MANYARA,27,BABATI,272,QASH,27214,QASH,BAGAHRI
MANYARA,27,BABATI,272,QASH,27214,MAJENGO,MAJENGO A
MANYARA,27,BABATI,272,QASH,27214,MAJENGO,MAJENGO B
MANYARA,27,BABATI,272,QASH,27214,MAJENGO,MAJENGO C
MANYARA,27,BABATI,272,QASH,27214,ORNGA'DIDA,MALESHI MAWENI
MANYARA,27,BABATI,272,QASH,27214,ORNGA'DIDA,KINYASI
MANYARA,27,BABATI,272,QASH,27214,ORNGA'DIDA,MLIMANI
