REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MARA,31,MUSOMA CBD,311,MUKENDO,31101,,MUKENDO
MARA,31,MUSOMA CBD,311,MUKENDO,31101,,NYERERE
MARA,31,MUSOMA CBD,311,MUKENDO,31101,,SOKOINE
MARA,31,MUSOMA CBD,311,MWIGOBERO,31102,,MWIGOBERO A
MARA,31,MUSOMA CBD,311,MWIGOBERO,31102,,MWIGOBERO B
MARA,31,MUSOMA CBD,311,MWIGOBERO,31102,,MWIGOBERO C
MARA,31,MUSOMA CBD,311,MWIGOBERO,31102,,MWIGOBERO D
MARA,31,MUSOMA CBD,311,IRINGO,31103,,IRINGO A
MARA,31,MUSOMA CBD,311,IRINGO,31103,,IRINGO B
MARA,31,MUSOMA CBD,311,IRINGO,31103,,IRINGO C
MARA,31,MUSOMA CBD,311,IRINGO,31103,,MLIMANI
MARA,31,MUSOMA CBD,311,KITAJI,31104,,KITAJI A
MARA,31,MUSOMA CBD,311,KITAJI,31104,,KITAJI B
MARA,31,MUSOMA CBD,311,KITAJI,31104,,KITAJI C
MARA,31,MUSOMA CBD,311,KITAJI,31104,,KITAJI D
MARA,31,MUSOMA CBD,311,KAMUNYONGE,31105,,BIAFRA
MARA,31,MUSOMA CBD,311,KAMUNYONGE,31105,,BONDENI
MARA,31,MUSOMA CBD,311,KAMUNYONGE,31105,,MAJITA ROAD
MARA,31,MUSOMA CBD,311,KAMUNYONGE,31105,,UWANJA WA NDEGE
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,PWANI
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,MKINYERERO
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,MAJITA ROAD
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,VETA
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,MTAKUJA “A”
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,MTAKUJA “B”
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,ZAHANATI
MARA,31,MUSOMA CBD,311,MWISENGE,31106,,SOKONI
MARA,31,MUSOMA CBD,311,NYAMATARE,31107,,MARA SEKONDARI
MARA,31,MUSOMA CBD,311,NYAMATARE,31107,,MTONGORI
MARA,31,MUSOMA CBD,311,NYAMATARE,31107,,WAKARA
MARA,31,MUSOMA CBD,311,NYAMATARE,31107,,NYABURANGI
MARA,31,MUSOMA CBD,311,NYAMATARE,31107,,NYAMATARE
MARA,31,MUSOMA CBD,311,NYASHO,31108,,MAGEREZA
MARA,31,MUSOMA CBD,311,NYASHO,31108,,MLANGO MMOJA
MARA,31,MUSOMA CBD,311,NYASHO,31108,,NYASHO KATI
MARA,31,MUSOMA CBD,311,NYASHO,31108,,NYASHO SHULENI
MARA,31,MUSOMA CBD,311,NYASHO,31108,,NYASHO SOKONI
MARA,31,MUSOMA CBD,311,NYAKATO,31109,,BARUTI
MARA,31,MUSOMA CBD,311,NYAKATO,31109,,MAZIWA
MARA,31,MUSOMA CBD,311,NYAKATO,31109,,BONDENI
MARA,31,MUSOMA CBD,311,NYAKATO,31109,,MLIMANI
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,NYARIGAMBA
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,ZIWANI
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,KINYANG’WENA
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,BUKANGA
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,NYAMIONGO “A”
MARA,31,MUSOMA CBD,311,MAKOKO,31110,,NYAMIONGO “B”
