REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MBEYA,53,MBEYA CBD,531,MBALIZI ROAD,53101,SABASABA,
MBEYA,53,MBEYA CBD,531,MBALIZI ROAD,53101,KABISA,
MBEYA,53,MBEYA CBD,531,MBALIZI ROAD,53101,KISOKI,
MBEYA,53,MBEYA CBD,531,MBALIZI ROAD,53101,MWASYOGE,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,SENJELE,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,MABATINI,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,MIANZINI,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,KAJIGILI,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,KISUNGA,
MBEYA,53,MBEYA CBD,531,MABATINI,53102,SIMIKE,
MBEYA,53,MBEYA CBD,531,FOREST,53103,META,
MBEYA,53,MBEYA CBD,531,FOREST,53103,KADEGE,
MBEYA,53,MBEYA CBD,531,FOREST,53103,MUUNGANO,
MBEYA,53,MBEYA CBD,531,FOREST,53103,MAKANISANI,
MBEYA,53,MBEYA CBD,531,FOREST,53103,BENKI KUU,
MBEYA,53,MBEYA CBD,531,FOREST,53103,MAGHOROFANI,
MBEYA,53,MBEYA CBD,531,FOREST,53103,FOREST MPYA,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,MAANGA A,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,MAANGA B,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,MAENDELEO,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,MAFIAT,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,NDONGOLE,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,SINDE,
MBEYA,53,MBEYA CBD,531,MAANGA,53104,MWAMFUPE,
MBEYA,53,MBEYA CBD,531,SINDE,53105,KAGWINA,
MBEYA,53,MBEYA CBD,531,SINDE,53105,ILOLO KATI,
MBEYA,53,MBEYA CBD,531,SINDE,53105,JANIBICHI,
MBEYA,53,MBEYA CBD,531,SINDE,53105,SINDE A,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,ISANGA KATI,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,ILOLO,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,WIGAMBA,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,MKUJU,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,IGOMA ILOLO A,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,IGOMA ILOLO B,
MBEYA,53,MBEYA CBD,531,ISANGA,53106,MMITA,
MBEYA,53,MBEYA CBD,531,SISIMBA,53107,UZUNGUNI A,
MBEYA,53,MBEYA CBD,531,SISIMBA,53107,SOKO KUU,
