REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,KIKUNDI,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,ULUGULU,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,UMBUNGA,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,SHULE,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,MLALI ROAD,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,UKWERE,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,KATI,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,KOTA,
MOROGORO,67,"MOROGORO
CBD",671,SULTANI AREA,67101,BUSHIRI,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,SHORT,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,BOMA ROAD,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,MLAPAKOLO,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,AMANI,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,UHURU,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,KARUME A,
MOROGORO,67,"MOROGORO
CBD",671,MJI MKUU,67102,KARUME B,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,BETELO,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,MAKONGORO,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,NGOTO  A,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,POLISI KOTA,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,KINGO,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,MLALI,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,KIKUNDI,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,MINDU,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,NGOTO B,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,KENYATTA,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,KONGA,
MOROGORO,67,"MOROGORO
CBD",671,SABASABA,67103,JOHN MAHENGE,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,KIDONDOLO A,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,KIDONDOLO B,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MADOX,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MISUFINI,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MSIKITI,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,KITUO CHA POLISI,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MAFIGA A,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MAFIGA B,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,CCM,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,KAMBAYA,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MAJUMBA SABA,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,NGAZENGWA,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,ZAHANATI,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,LUSEGWA,
MOROGORO,67,"MOROGORO
CBD",671,MAFIGA,67104,MANZESE,
MOROGORO,67,"MOROGORO
CBD",671,UWANJA WA TAIFA,67105,UKUTU,
MOROGORO,67,"MOROGORO
CBD",671,UWANJA WA TAIFA,67105,MAELEWANO A,
MOROGORO,67,"MOROGORO
CBD",671,UWANJA WA TAIFA,67105,MAELEWANO B,
