REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MTWARA,63,MTWARA CBD,631,RELI,63101,KIZOTA,
MTWARA,63,MTWARA CBD,631,RELI,63101,MKUNGUNI,
MTWARA,63,MTWARA CBD,631,RELI,63101,MSIKITINI,
MTWARA,63,MTWARA CBD,631,RELI,63101,RELINI A,
MTWARA,63,MTWARA CBD,631,RELI,63101,RELINI B,
MTWARA,63,MTWARA CBD,631,RELI,63101,SERENGETI,
MTWARA,63,MTWARA CBD,631,LIKOMBE,63102,MDENGA,
MTWARA,63,MTWARA CBD,631,LIKOMBE,63102,MADABA,
MTWARA,63,MTWARA CBD,631,LIKOMBE,63102,MTEPWEZI,
MTWARA,63,MTWARA CBD,631,LIKOMBE,63102,MLIMANI,
MTWARA,63,MTWARA CBD,631,LIKOMBE,63102,LILUNGU,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,KISUTU A,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,KISUTU B,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,KISUTU C,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,MABATINI A,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,MABATINI B,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,SOKO KUU,
MTWARA,63,MTWARA CBD,631,VIGAENI,63103,SINANI,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,LIGULA KATI,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,LIGULA MBELENJE,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,KIYANGU A,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,KIYANGU B,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,SHANGANI EAST,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,LIGULA TES,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,MADUKA MAKUBWA,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,LIGULA SHULENI,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,LIGULA UMOJA,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,SHANGANI WEST,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,INDIAN QUARTERS,
MTWARA,63,MTWARA CBD,631,SHANGANI,63104,TTC UFUNDI,
MTWARA,63,MTWARA CBD,631,CHIKONGOLA,63105,OFISI KUU,
MTWARA,63,MTWARA CBD,631,CHIKONGOLA,63105,MWERA,
MTWARA,63,MTWARA CBD,631,CHIKONGOLA,63105,MUUNGANO,
MTWARA,63,MTWARA CBD,631,CHIKONGOLA,63105,CITUS,
MTWARA,63,MTWARA CBD,631,CHIKONGOLA,63105,SABASABA,
MTWARA,63,MTWARA CBD,631,MAJENGO,63106,BIAFRA,
MTWARA,63,MTWARA CBD,631,MAJENGO,63106,GEZAULOLE,
MTWARA,63,MTWARA CBD,631,MAJENGO,63106,GUINEA,
MTWARA,63,MTWARA CBD,631,MAJENGO,63106,MSIKITINI,
MTWARA,63,MTWARA CBD,631,CHUNO,63107,MISETI,
MTWARA,63,MTWARA CBD,631,CHUNO,63107,NAMTIBWILI,
MTWARA,63,MTWARA CBD,631,CHUNO,63107,MAJENGO,
MTWARA,63,MTWARA CBD,631,CHUNO,63107,LIGULA 'B',
MTWARA,63,MTWARA CBD,631,CHUNO,63107,LIGULA 'A',
MTWARA,63,MTWARA CBD,631,CHUNO,63107,LIGULA 'C',
MTWARA,63,MTWARA CBD,631,CHUNO,63107,CHUNO KATI,
MTWARA,63,MTWARA CBD,631,UFUKONI,63108,UFUKONI STANDI,
MTWARA,63,MTWARA CBD,631,UFUKONI,63108,CHUNDI,
MTWARA,63,MTWARA CBD,631,UFUKONI,63108,MBAE MASHARIKI,
MTWARA,63,MTWARA CBD,631,UFUKONI,63108,MBAE MAGHARIBI,
MTWARA,63,MTWARA CBD,631,UFUKONI,63108,MIANZINI,
MTWARA,63,MTWARA CBD,631,MITENGO,63109,KILIMA HEWA,
MTWARA,63,MTWARA CBD,631,MITENGO,63109,MNAZI MMOJA,
MTWARA,63,MTWARA CBD,631,MITENGO,63109,MNAIDA,
MTWARA,63,MTWARA CBD,631,MAGENGENI,63110,MKUNDI,
MTWARA,63,MTWARA CBD,631,MAGENGENI,63110,MAGENGENI,
MTWARA,63,MTWARA CBD,631,MAGENGENI,63110,NDOLO,
MTWARA,63,MTWARA CBD,631,MAGENGENI,63110,BOMANI,
MTWARA,63,MTWARA CBD,631,MAGENGENI,63110,MJIMWEMA,
MTWARA,63,MTWARA CBD,631,MTONYA,63111,MTONYA A,
MTWARA,63,MTWARA CBD,631,MTONYA,63111,MTONYA B,
MTWARA,63,MTWARA CBD,631,MTONYA,63111,SINGINO,
MTWARA,63,MTWARA CBD,631,MTONYA,63111,HAIKATA,
MTWARA,63,MTWARA CBD,631,KISUNGULE,63112,KISUNGULE A,
MTWARA,63,MTWARA CBD,631,KISUNGULE,63112,KISUNGULE B,
MTWARA,63,MTWARA CBD,631,KISUNGULE,63112,KISUNGULE C,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,MAHUTA,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,MIRUMBA,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,MCHANGANI,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,MTANGASHARI,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,LWELU,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,MABATINI,
MTWARA,63,MTWARA CBD,631,JANGWANI,63113,DIMBUZI,
MTWARA,63,MTWARA CBD,631,RAHALEO,63114,RAHALEO JUU,
MTWARA,63,MTWARA CBD,631,RAHALEO,63114,PENTEKOSTE,
MTWARA,63,MTWARA CBD,631,RAHALEO,63114,FFU NANDOPE,
MTWARA,63,MTWARA CBD,631,RAHALEO,63114,SHAPRIYA,
MTWARA,63,MTWARA CBD,631,RAHALEO,63114,RAHALEO CHINI,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MKANGALA KASKAZINI,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MKANGALA KUSINI,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MKUNJANGUO,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MBAWALA CHINI,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MBAWALA SHANGANI,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,NAULONGO,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,PWANI A,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,PWANI B,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,PWANI C,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,MIHAMBWE,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,PACHOTO A,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,PACHOTO B,
MTWARA,63,MTWARA CBD,631,NALIENDELE,63115,SOGEA,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,MAGOMENI A,FROM UFUKONI
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,MAGOMENI B,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,MAGOMENI SHULENI,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,TULIVU,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,KAGERA,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,BOMBA LA BURE,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,CHIPUPUTA,
MTWARA,63,MTWARA CBD,631,MAGOMENI,63116,MATOPENI,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,NAMAYANGA,FROM LIKOMBE
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,CHIHIKO,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,MTAWANYA HOSPITALI,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,MTAWANYA SOKONI,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,MANGAMBA CHINI,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,MANGAMBA JUU,
MTWARA,63,MTWARA CBD,631,MTAWANYA,63117,UWANJA WA NDEGE,
MTWARA,63,MTWARA CBD,631,TANDIKA,63118,MMINGANO,FROM DINDUMA
MTWARA,63,MTWARA CBD,631,TANDIKA,63118,MTAWIKE,
MTWARA,63,MTWARA CBD,631,TANDIKA,63118,LIYAWILE,
MTWARA,63,MTWARA CBD,631,TANDIKA,63118,TANDIKA,
MTWARA,63,MTWARA CBD,631,TANDIKA,63118,SHULE YA MSINGI  MAJENGO,
MTWARA,63,MTWARA,632,ZIWANI,63201,MSAKALA,SHULENI
MTWARA,63,MTWARA,632,ZIWANI,63201,MSAKALA,KANISANI
MTWARA,63,MTWARA,632,ZIWANI,63201,MSAKALA,MIJOHORO
MTWARA,63,MTWARA,632,ZIWANI,63201,MSAKALA,NUNU
MTWARA,63,MTWARA,632,ZIWANI,63201,MAJENGO,MAJENGO A
MTWARA,63,MTWARA,632,ZIWANI,63201,MAJENGO,MEMBE
MTWARA,63,MTWARA,632,ZIWANI,63201,MAJENGO,MSIJE
MTWARA,63,MTWARA,632,ZIWANI,63201,MAJENGO,MKWAJUNI
MTWARA,63,MTWARA,632,ZIWANI,63201,MNAWENE,ZAMBIA
MTWARA,63,MTWARA,632,ZIWANI,63201,MNAWENE,KONGO
MTWARA,63,MTWARA,632,ZIWANI,63201,MNAWENE,TEMBELEA
MTWARA,63,MTWARA,632,ZIWANI,63201,MNAWENE,SHANGANI
MTWARA,63,MTWARA,632,ZIWANI,63201,NAMBELEKETELA,NAMBELEKETELA SOKONI
MTWARA,63,MTWARA,632,ZIWANI,63201,NAMBELEKETELA,MNULI
MTWARA,63,MTWARA,632,ZIWANI,63201,NAMBELEKETELA,MNENJE
MTWARA,63,MTWARA,632,ZIWANI,63201,NAMBELEKETELA,MASHINE
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,MNAIDA A
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,MNAIDA B
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,MLANDEGE
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,HYUVI
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,BARABARANI
MTWARA,63,MTWARA,632,MADIMBA,63202,MNGOJI,SHULENI
MTWARA,63,MTWARA,632,MADIMBA,63202,LITEMBE,PATAKUWA
MTWARA,63,MTWARA,632,MADIMBA,63202,LITEMBE,MAJENGO
MTWARA,63,MTWARA,632,MADIMBA,63202,LITEMBE,LITEMBE PWANI
MTWARA,63,MTWARA,632,MADIMBA,63202,LITEMBE,LITEMBE MIEMBENI
MTWARA,63,MTWARA,632,MADIMBA,63202,MITAMBO,CHOTA
MTWARA,63,MTWARA,632,MADIMBA,63202,MITAMBO,MITAMBO
MTWARA,63,MTWARA,632,MADIMBA,63202,MITAMBO,MITONDO
MTWARA,63,MTWARA,632,MADIMBA,63202,MITAMBO,NAMIYOKA
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,PWANI
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,MABATINI
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,MAJENGO
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,MAHVA
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,MCHEPA
MTWARA,63,MTWARA,632,MADIMBA,63202,MADIMBA,SHANGANI
MTWARA,63,MTWARA,632,MADIMBA,63202,MTENDACHI,MILUMBA
MTWARA,63,MTWARA,632,MADIMBA,63202,MTENDACHI,MUUNGANO
MTWARA,63,MTWARA,632,MADIMBA,63202,MTENDACHI,MIEMBENI
MTWARA,63,MTWARA,632,MADIMBA,63202,MTENDACHI,RAHALEO
MTWARA,63,MTWARA,632,MADIMBA,63202,NAMINDONDI,KARIAKOO
MTWARA,63,MTWARA,632,MADIMBA,63202,NAMINDONDI,MAJENGO
MTWARA,63,MTWARA,632,MADIMBA,63202,NAMINDONDI,LIKONDE
MTWARA,63,MTWARA,632,MADIMBA,63202,NAMINDONDI,SHANGANI
MTWARA,63,MTWARA,632,MADIMBA,63202,NAMINDONDI,BARABARANI
MTWARA,63,MTWARA,632,MADIMBA,63202,MAYAYA,BWAWANI
MTWARA,63,MTWARA,632,MADIMBA,63202,MAYAYA,KIGAMBONI
MTWARA,63,MTWARA,632,MADIMBA,63202,MAYAYA,MPANGAPANGA
MTWARA,63,MTWARA,632,MADIMBA,63202,MAYAYA,SHULENI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIHIMIKA,KIHIMIKA A
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIHIMIKA,KIHIMIKAB
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIHIMIKA,MKOHE
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KITUNGULI,STENDI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KITUNGULI,NYUNGU
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KITUNGULI,LIKUVI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KITUNGULI,SHULENI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KITUNGULI,KIYONGO
MTWARA,63,MTWARA,632,MAHURUNGA,63203,MAHURUNGA,UKOMBOZI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,MAHURUNGA,GULIONI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,MAHURUNGA,SOKONI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIVAVA,KAGERA
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIVAVA,SOKONI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIVAVA,KIVUKONI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIVAVA,DINANJE
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KIVAVA,LILUMBI
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KILOMBERO,KILOMBERO
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KILOMBERO,MAJALENGA
MTWARA,63,MTWARA,632,MAHURUNGA,63203,KILOMBERO,LIZIKA
MTWARA,63,MTWARA,632,NANGURUWE,63204,NGORONGORO,MALIASILI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NGORONGORO,SHANGANI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NGORONGORO,MAILI SITA
MTWARA,63,MTWARA,632,NANGURUWE,63204,NGORONGORO,SOKONI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NANGURUWE,MAJENGO
MTWARA,63,MTWARA,632,NANGURUWE,63204,NANGURUWE,KITONDO
MTWARA,63,MTWARA,632,NANGURUWE,63204,NANGURUWE,MICHENJI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NANGURUWE,LYOTO
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA  SHULENI,MALAMBA
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA  SHULENI,DINDUMA
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA  SHULENI,MWAMBAO
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA BARABARANI,CHIPANGATI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA BARABARANI,NAMAHYAKATA SOKONI
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA BARABARANI,LINGULA
MTWARA,63,MTWARA,632,NANGURUWE,63204,NAMAHYAKATA BARABARANI,TANDIKA
MTWARA,63,MTWARA,632,NANGURUWE,63204,MTEMBA,ZAMBIA
MTWARA,63,MTWARA,632,NANGURUWE,63204,MTEMBA,SABASABA
MTWARA,63,MTWARA,632,NANGURUWE,63204,MTEMBA,NJIA SITA
MTWARA,63,MTWARA,632,NANGURUWE,63204,MTEMBA,MTANGA
MTWARA,63,MTWARA,632,MAYANGA,63205,MSIJUTE,MAJENGO
MTWARA,63,MTWARA,632,MAYANGA,63205,MSIJUTE,MAYANGA
MTWARA,63,MTWARA,632,MAYANGA,63205,MSIJUTE,MISRI
MTWARA,63,MTWARA,632,MAYANGA,63205,MSIJUTE,MAGOMENI
MTWARA,63,MTWARA,632,MAYANGA,63205,MAYANGA,MAYANGA
MTWARA,63,MTWARA,632,MAYANGA,63205,MAYANGA,MAJENGO
MTWARA,63,MTWARA,632,MAYANGA,63205,MAYANGA,MBULU
MTWARA,63,MTWARA,632,MAYANGA,63205,MAYANGA,NACHUNYU
MTWARA,63,MTWARA,632,MAYANGA,63205,HIYARI,LIKULUWILU
MTWARA,63,MTWARA,632,MAYANGA,63205,HIYARI,MAJENGO
MTWARA,63,MTWARA,632,MAYANGA,63205,HIYARI,PACHANI
MTWARA,63,MTWARA,632,MAYANGA,63205,HIYARI,MIGOMBANI
MTWARA,63,MTWARA,632,MAYANGA,63205,HIYARI,MWENGE
MTWARA,63,MTWARA,632,MAYANGA,63205,LIKONDE,MAENDELEO
MTWARA,63,MTWARA,632,MAYANGA,63205,LIKONDE,NANG'UNGA
MTWARA,63,MTWARA,632,MAYANGA,63205,LIKONDE,MABOMBA
MTWARA,63,MTWARA,632,MAYANGA,63205,LIKONDE,JITEGEMEE
MTWARA,63,MTWARA,632,MAYANGA,63205,NANGUMI,NANGUMI
MTWARA,63,MTWARA,632,MAYANGA,63205,NANGUMI,MTIBWA
MTWARA,63,MTWARA,632,MAYANGA,63205,NANGUMI,MAPAMBANO
MTWARA,63,MTWARA,632,MAYANGA,63205,NANGUMI,MWEMBECHAI
MTWARA,63,MTWARA,632,MAYANGA,63205,NANGUMI,SHANGANI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAMGOGOLI,MWEMBECHAI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAMGOGOLI,MSIKITINI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAMGOGOLI,MIPANDE
MTWARA,63,MTWARA,632,NAUMBU,63206,MGAO,MKAYA
MTWARA,63,MTWARA,632,NAUMBU,63206,MGAO,NGAZIJA
MTWARA,63,MTWARA,632,NAUMBU,63206,MGAO,NANG'ONDE
MTWARA,63,MTWARA,632,NAUMBU,63206,MGAO,NAMTINGA
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU KUSINI,CHELEWENI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU KUSINI,MNAZI MMOJA
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU KUSINI,NAMANGUMI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU KUSINI,PEMBA PWANI
MTWARA,63,MTWARA,632,NAUMBU,63206,KISIWA,LISOHA
MTWARA,63,MTWARA,632,NAUMBU,63206,KISIWA,MWEDA
MTWARA,63,MTWARA,632,NAUMBU,63206,KISIWA,MAJENGO
MTWARA,63,MTWARA,632,NAUMBU,63206,KISIWA,BARABARANI
MTWARA,63,MTWARA,632,NAUMBU,63206,MAJENGO,NACHIEMBE
MTWARA,63,MTWARA,632,NAUMBU,63206,MAJENGO,MPAKANI
MTWARA,63,MTWARA,632,NAUMBU,63206,MAJENGO,MKWAJUNI
MTWARA,63,MTWARA,632,NAUMBU,63206,MAJENGO,MAJENGO
MTWARA,63,MTWARA,632,NAUMBU,63206,IMEKUWA,MIKUVA
MTWARA,63,MTWARA,632,NAUMBU,63206,IMEKUWA,BONDENI
MTWARA,63,MTWARA,632,NAUMBU,63206,IMEKUWA,BWAHARI
MTWARA,63,MTWARA,632,NAUMBU,63206,IMEKUWA,BWAHARI PWANI
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU,KITOPE
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU,PAKAYA
MTWARA,63,MTWARA,632,NAUMBU,63206,NAUMBU,MMELA
MTWARA,63,MTWARA,632,NAUMBU,63206,MKUNGU,MATAIFANI
MTWARA,63,MTWARA,632,NAUMBU,63206,MKUNGU,MANGISA
MTWARA,63,MTWARA,632,NAUMBU,63206,MKUNGU,MKAYA
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,NDUMBWE MJINI
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,NDUMBWE BARABARANI
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,NAMIVANGO
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,DIMBANGO
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,MDAMBI
MTWARA,63,MTWARA,632,NDUMBWE,63207,NDUMBWE,MTUMBIKILE
MTWARA,63,MTWARA,632,NDUMBWE,63207,CHANGALAWE,CHANGALAWE
MTWARA,63,MTWARA,632,NDUMBWE,63207,CHANGALAWE,MPAPAYA
MTWARA,63,MTWARA,632,NDUMBWE,63207,CHANGALAWE,NAMDOBA
MTWARA,63,MTWARA,632,NDUMBWE,63207,CHANGALAWE,CHIULEULE
MTWARA,63,MTWARA,632,NDUMBWE,63207,MBUO,MAHOME
MTWARA,63,MTWARA,632,NDUMBWE,63207,MBUO,MBUO BONDENI
MTWARA,63,MTWARA,632,NDUMBWE,63207,MBUO,MBUO JUU
MTWARA,63,MTWARA,632,NDUMBWE,63207,MBUO,MATIMBULA
MTWARA,63,MTWARA,632,NDUMBWE,63207,MWATEHI,NAKUBA
MTWARA,63,MTWARA,632,NDUMBWE,63207,MWATEHI,MCHANGANI
MTWARA,63,MTWARA,632,NDUMBWE,63207,MWATEHI,MKWAJUNI
MTWARA,63,MTWARA,632,NDUMBWE,63207,MNYUNDO,MIYONGO
MTWARA,63,MTWARA,632,NDUMBWE,63207,MNYUNDO,MNYUNDO SHULENI
MTWARA,63,MTWARA,632,NDUMBWE,63207,MNYUNDO,CHITANDI
MTWARA,63,MTWARA,632,DIHIMBA,63208,DIHIMBA,DIHIMBA
MTWARA,63,MTWARA,632,DIHIMBA,63208,DIHIMBA,SOKONI
MTWARA,63,MTWARA,632,DIHIMBA,63208,DIHIMBA,LIGULA
