REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
MWANZA,33,NYAMAGANA,331,NYAMAGANA,33101,CAPRIPOINT,
MWANZA,33,NYAMAGANA,331,NYAMAGANA,33101,NYAMAGANA MASHARIKI,
MWANZA,33,NYAMAGANA,331,NYAMAGANA,33101,NYAMAGANA MAGHARIBI,
MWANZA,33,NYAMAGANA,331,NYAMAGANA,33101,IDARA YA MAJI,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,PAMBA  A,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,PAMBA  B,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,MIEMBENI  A,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,MIEMBENI  B,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,BUGARIKA  KUSINI,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,BUGARIKA  KASKAZINI,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,MISSION,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,MLIMANI,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,ZAHANATI,
MWANZA,33,NYAMAGANA,331,PAMBA,33102,JESHINI,
MWANZA,33,NYAMAGANA,331,MIRONGO,33103,RUFIJI,
MWANZA,33,NYAMAGANA,331,MIRONGO,33103,UHURU,
MWANZA,33,NYAMAGANA,331,MIRONGO,33103,UTEMINI,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NYAKABUNGO  A,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NYAKABUNGO  C,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NYAKABUNGO,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NERA,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,ISAMILO  KASKAZINI   A,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,ISAMILO  KASKAZINI   B,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,S.D.A,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NYAKABUNGO B,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,LAKE,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,NATIONAL,
MWANZA,33,NYAMAGANA,331,ISAMILO,33104,MSIKITI,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,UNGUJA,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,NYASHANA,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,MBUGANI A,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,MBUGANI B,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,KASULU,
MWANZA,33,NYAMAGANA,331,MBUGANI,33105,UHURU,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,IGOGO KASKAZINI  A,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,KAMBARAGE,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,MINJA,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,BUGANDO,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,JIWE,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,MULUNGUSHI,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,KWIMBA,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,AZIMIO,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,MWENGE,
MWANZA,33,NYAMAGANA,331,IGOGO,33109,MALULU,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,MKUYUNI SOKONI,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,RELWE,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,SHEDE,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,KANG'ANGA,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,MULUMBANI,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,MAHINA RELINI,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,MAHAKAMA,
MWANZA,33,NYAMAGANA,331,MKUYUNI,33110,NYAKURUNDUMA,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,MISSION,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,MAJENGO MAPYA,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,NYERERE A,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,NYERERE B,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,MABATINI KUSINI,
MWANZA,33,NYAMAGANA,331,MABATINI,33111,MABATINI KASKAZINI,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,NYANG'HINGI,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,UTEMINI,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,IBANDA,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,MAJENGO,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,MKOLANI,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,NYAMAZOBE,
MWANZA,33,NYAMAGANA,331,MKOLANI,33112,KASESE,
