REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,KWIVAHA,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,POSTA KATI,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,NHC,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,MGENDELA,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,KIHESA,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,SIDO,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,BUGURUNI,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,IDUNDILANGA,
NJOMBE,59,NJOMBE CBD,591,NJOMBE MJINI,59101,KAMBARAGE,
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MIVA,NGANGITAKULA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MIVA,STOO
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MIVA,MIVA SHULENI
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MIVA,MWILONGELAGE
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MIVA,LUFINGU
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUPONDE,MADOGO
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUPONDE,MJIMWEMA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUPONDE,MLOGELWA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUPONDE,KEFEE
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUPONDE,MAHOVE
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,IGOLA,NGENDULI
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,IGOLA,MAJENGO
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,IGOLA,MWEMBETOGWA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,IGOLA,NJILIKWA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,IGOLA,IDUCHU
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUSITU,"LUSITU ""A"""
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUSITU,"LUSITU ""B"""
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUSITU,UTIPILILE
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUSITU,LUHOLOLO
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,LUSITU,MKENGWA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MADOBOLE,UNEWA
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MADOBOLE,MADOBOLE SHULENI
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MADOBOLE,SAGOMILE
NJOMBE,59,NJOMBE CBD,591,LUPONDE,59102,MADOBOLE,MATALAWE
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,UWEMBA MAGHARIBI(B)
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,KINYANGESI (B)
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,SALIMU
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,GALILEYA
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,UWEMBA,ICHENGA.
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,KILENZI,MADATI CHINI
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,KILENZI,MADATI JUU
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,KILENZI,ITUNU
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,KILENZI,PELAGA A
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,KILENZI,PELAGA B
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAGODA,ITIGA C
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAGODA,ITIGA B
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAGODA,ITIGA C
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAKANJAULA,IDAGADAGA
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAKANJAULA,INDIPA
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAKANJAULA,NYAMALAMBO
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAKANJAULA,ISILILO
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,MAKANJAULA,MAKANJAULA KATI
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,NJOOMLOLE,MOROGORO
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,NJOOMLOLE,MBALANO
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,NJOOMLOLE,NJOOMLOLE MAGHARIBI
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,NJOOMLOLE,NJOOMLOLE MASHARIKI
NJOMBE,59,NJOMBE CBD,591,UWEMBA,59103,NJOOMLOLE,BOYI
NJOMBE,59,NJOMBE CBD,591,KIFANYA,59104,KIFANYA,KIBONDENI
NJOMBE,59,NJOMBE CBD,591,KIFANYA,59104,KIFANYA,MAKANDO
