REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
PWANI,61,KIBAHA CBD,611,TUMBI,61101,MKOANI A,
PWANI,61,KIBAHA CBD,611,TUMBI,61101,MKOANI B,
PWANI,61,KIBAHA CBD,611,TUMBI,61101,BOKOTEMBONI,
PWANI,61,KIBAHA CBD,611,TUMBI,61101,BOKOTIMIZA,
PWANI,61,KIBAHA CBD,611,TUMBI,61101,MWANALUGALI,
PWANI,61,KIBAHA CBD,611,TUMBI,61101,MWANALUGALI B,
PWANI,61,KIBAHA CBD,611,MAILIMOJA,61102,MAILIMOJA A,
PWANI,61,KIBAHA CBD,611,MAILIMOJA,61102,UYAONI,
PWANI,61,KIBAHA CBD,611,MAILIMOJA,61102,SHULENI MAILIMOJA,
PWANI,61,KIBAHA CBD,611,MAILIMOJA,61102,MUHEZA,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,PANGANI,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,MTAKUJA,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,KIDIMU,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,LUMUMBA,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,MKOMBOZI,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,VIKAWE BONDENI,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,VIKAWE SHULE,
PWANI,61,KIBAHA CBD,611,PANGANI,61103,MIWALE,
PWANI,61,KIBAHA CBD,611,PICHA YA NDEGE,61104,PICHA YA NDEGE,
PWANI,61,KIBAHA CBD,611,PICHA YA NDEGE,61104,LULANZI,
PWANI,61,KIBAHA CBD,611,PICHA YA NDEGE,61104,MUHARAKANI,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,BUNGO,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,KIBONDENI,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,MKONGONI,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,MBWATE,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,MKUZA,
PWANI,61,KIBAHA CBD,611,MKUZA,61105,MPAKANI,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,KIDENGE,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,MSANGANI,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,SIMBANI,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,KUMBA,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,KIDENGE B,
PWANI,61,KIBAHA CBD,611,MSANGANI,61106,MADINA,
PWANI,61,KIBAHA CBD,611,KIBAHA,61107,MWENDAPOLE A,
PWANI,61,KIBAHA CBD,611,KIBAHA,61107,MWENDAPOLE B,
PWANI,61,KIBAHA CBD,611,KIBAHA,61107,KWAMFIPA,
PWANI,61,KIBAHA CBD,611,KIBAHA,61107,SIMBANI,
PWANI,61,KIBAHA CBD,611,KIBAHA,61107,KITENDE,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,MIEMBESABA A,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,MIEMBESABA B,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,MWAMBISI,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,BAMBA,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,UNGINDONI,
PWANI,61,KIBAHA CBD,611,KONGOWE,61108,KONGOWE,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,MISUGUSUGU,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,MIYOMBONI,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,ZOGOWALE,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,KARABAKA,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,JONUG”HA,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,SAENI,
PWANI,61,KIBAHA CBD,611,MISUGUSUGU,61109,VITENDO,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,MADAFU,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,MIWALENI,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,ZEGERENI,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,MAILI 35,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,VISIGA KATI,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,VISIGA  B,
PWANI,61,KIBAHA CBD,611,VISIGA,61110,KICHANGANI,
PWANI,61,KIBAHA CBD,611,MBWAWA,61111,MBWAWA,
PWANI,61,KIBAHA CBD,611,MBWAWA,61111,MKOLENI,
PWANI,61,KIBAHA CBD,611,MBWAWA,61111,MISWE DUKA,
PWANI,61,KIBAHA CBD,611,MBWAWA,61111,MISWE CHINI,
PWANI,61,KIBAHA CBD,611,TANGINI,61112,TANGINI,
PWANI,61,KIBAHA CBD,611,TANGINI,61112,MAILIMOJA B,
PWANI,61,KIBAHA CBD,611,TANGINI,61112,KILIMAHEWA,
PWANI,61,KIBAHA CBD,611,TANGINI,61112,MACHINJIONI,
PWANI,61,KIBAHA CBD,611,SOFU,61113,SOFU,
PWANI,61,KIBAHA CBD,611,SOFU,61113,MSUFINI,
PWANI,61,KIBAHA CBD,611,SOFU,61113,TWENDEPAMOJA,
PWANI,61,KIBAHA CBD,611,VIZIWA ZIWA,61114,VIZIWAZIWA,
PWANI,61,KIBAHA CBD,611,VIZIWA ZIWA,61114,MIKONGENI,
PWANI,61,KIBAHA CBD,611,VIZIWA ZIWA,61114,SAGALE KAMBINI,
PWANI,61,KIBAHA CBD,611,VIZIWA ZIWA,61114,SAGALE MAGENGENI,
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,MIHANDE
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,MLANDIZI MJINI
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,MLANDIZI KATI
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,MSUFINI
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,VIKURUTI MJINI
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,KIBWENDE
PWANI,61,KIBAHA,612,MLANDIZI,61201,KIBAHA,KITEMVU
PWANI,61,KIBAHA,612,KILANGALANGA,61202,KIBAHA,KILANGALANGA
PWANI,61,KIBAHA,612,KILANGALANGA,61202,KIBAHA,MADIMLA
PWANI,61,KIBAHA,612,KILANGALANGA,61202,KIBAHA,DISUNYARA
PWANI,61,KIBAHA,612,JANGA,61203,KIBAHA,JANGA
PWANI,61,KIBAHA,612,JANGA,61203,KIBAHA,KALOLENI
PWANI,61,KIBAHA,612,JANGA,61203,KIBAHA,MBAGALA
PWANI,61,KIBAHA,612,JANGA,61203,KIBAHA,MWEMBEBARAZA
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,KIDAI
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,MKINO
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,MAKOTOPORA
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,KIKONGO
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,NGETA
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,LUPUNGA
PWANI,61,KIBAHA,612,KIKONGO,61204,KIBAHA,MWANABWITO
PWANI,61,KIBAHA,612,RUVU,61205,RUVU STESHENI,RUVU MJINI
PWANI,61,KIBAHA,612,RUVU,61205,RUVU STESHENI,MIDIZINI
PWANI,61,KIBAHA,612,RUVU,61205,KITOMONDO,KITOMONDO
PWANI,61,KIBAHA,612,RUVU,61205,KITOMONDO,GUMBA
PWANI,61,KIBAHA,612,RUVU,61205,MINAZIMIKINDA,MINAZI MIKINDA
PWANI,61,KIBAHA,612,RUVU,61205,MINAZIMIKINDA,MNAZI
PWANI,61,KIBAHA,612,RUVU,61205,MINAZIMIKINDA,LUBUNGO
PWANI,61,KIBAHA,612,RUVU,61205,MINAZIMIKINDA,KIMBOZA
PWANI,61,KIBAHA,612,SOGA,61206,SOGA,KONGO
PWANI,61,KIBAHA,612,SOGA,61206,SOGA,ALAVI
PWANI,61,KIBAHA,612,SOGA,61206,SOGA,DENGWA
PWANI,61,KIBAHA,612,SOGA,61206,SOGA,BOMU
PWANI,61,KIBAHA,612,SOGA,61206,SOGA,SOGA
PWANI,61,KIBAHA,612,SOGA,61206,KIPANGEGE,KIPANGEGE
PWANI,61,KIBAHA,612,SOGA,61206,KIPANGEGE,CHAMGOHI
PWANI,61,KIBAHA,612,SOGA,61206,VIKUGE,VIKUGE
PWANI,61,KIBAHA,612,SOGA,61206,VIKUGE,NGOHINGO
PWANI,61,KIBAHA,612,SOGA,61206,VIKUGE,KIGERO
PWANI,61,KIBAHA,612,SOGA,61206,MISUFINI,MSUFINI
PWANI,61,KIBAHA,612,SOGA,61206,MISUFINI,KIBWE
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,BOKOMNEMELA,BOKOKATI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,BOKOMNEMELA,MWALENI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,BOKOMNEMELA,NJIA PANDA
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,BOKOMNEMELA,MKWAJUNI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MPIJI,MPIJI STESHENI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MPIJI,ZUMBA
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MPIJI,CHANG'UDE
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MNEMELA KIBAONI,KIBAONI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MNEMELA KIBAONI,MOJATA
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MKALAMBATI,MKALAMBATI  KATI
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MKALAMBATI,CHAMBUTWA
PWANI,61,KIBAHA,612,BOKOMNEMELA,61207,MKALAMBATI,MPAKANI
PWANI,61,KIBAHA,612,KWALA,61208,KWALA,KWALA
PWANI,61,KIBAHA,612,KWALA,61208,KWALA,WAYA
PWANI,61,KIBAHA,612,KWALA,61208,MPERAMUMBI,MPERAMUMBI
PWANI,61,KIBAHA,612,KWALA,61208,MPERAMUMBI,MSUA
PWANI,61,KIBAHA,612,DUTUMI,61209,MWEMBENGOZI,MWEMBENGOZI
PWANI,61,KIBAHA,612,DUTUMI,61209,DUTUMI,DUTUMI
PWANI,61,KIBAHA,612,DUTUMI,61209,MADEGE,MADEGE
PWANI,61,KIBAHA,612,GWATA,61210,GUMBA,GUMBA MJINI
PWANI,61,KIBAHA,612,GWATA,61210,GUMBA,MAVUHA
PWANI,61,KIBAHA,612,GWATA,61210,GUMBA,MIALENI
PWANI,61,KIBAHA,612,GWATA,61210,MILALAZI,MILALAZI
PWANI,61,KIBAHA,612,GWATA,61210,MILALAZI,BUGURUNI
PWANI,61,KIBAHA,612,GWATA,61210,MILALAZI,GUDE
PWANI,61,KIBAHA,612,GWATA,61210,GWATA,GWATA MJINI
PWANI,61,KIBAHA,612,GWATA,61210,GWATA,MGULUKA
PWANI,61,KIBAHA,612,GWATA,61210,NGWALE,VINYENZE
PWANI,61,KIBAHA,612,GWATA,61210,NGWALE,NGWALE MJINI
PWANI,61,KIBAHA,612,GWATA,61210,KIGODA,KIGODA
PWANI,61,KIBAHA,612,GWATA,61210,KIGODA,MTONGA B
PWANI,61,KIBAHA,612,GWATA,61210,NDWATI,MTONGA A
PWANI,61,KIBAHA,612,GWATA,61210,NDWATI,NDWATI MJINI
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,MKONGA
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,MZIZIMA
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,KILUNGULE
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,VIFONZE
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,MUYOMBO KATI
PWANI,61,KIBAHA,612,MAGINDU,61211,LUKENGE,KISEKA
PWANI,61,KIBAHA,612,MAGINDU,61211,MAGINDU,MAGINDU MJINI
PWANI,61,KIBAHA,612,MAGINDU,61211,MAGINDU,MNYONGE
PWANI,61,KIBAHA,612,MAGINDU,61211,MAGINDU,LUKALASI
PWANI,61,KIBAHA,612,MAGINDU,61211,MAGINDU,MASAKI
PWANI,61,KIBAHA,612,MAGINDU,61211,MIZUGUNI,MIZUGUNI ‘A’
PWANI,61,KIBAHA,612,MAGINDU,61211,MIZUGUNI,MIZUGUNI ‘B’
PWANI,61,KIBAHA,612,MAGINDU,61211,MIZUGUNI,KUYU
PWANI,61,KIBAHA,612,MAGINDU,61211,MIZUGUNI,MUYOMBO UKULIMA
PWANI,61,KIBAHA,612,MTAMBANI,61212,MIZUGUNI,MTAMBANI
PWANI,61,KIBAHA,612,MTAMBANI,61212,MIZUGUNI,NJIA PANDA JKT
PWANI,61,KIBAHA,612,MTAMBANI,61212,MIZUGUNI,RUVU KWA DOSSA
PWANI,61,KIBAHA,612,MTAMBANI,61212,MIZUGUNI,SAIDI DOMO
PWANI,61,KIBAHA,612,MTAMBANI,61212,MIZUGUNI,MIHANDE BOMU
PWANI,61,KIBAHA,612,MTONGANI,61213,MIZUGUNI,KISABI
PWANI,61,KIBAHA,612,MTONGANI,61213,MIZUGUNI,MTONGANI
PWANI,61,KIBAHA,612,MTONGANI,61213,MIZUGUNI,USALAMA
PWANI,61,KIBAHA,612,KAWAWA,61214,MIZUGUNI,MSONGOLA
PWANI,61,KIBAHA,612,KAWAWA,61214,MIZUGUNI,MAKAZI MAPYA
PWANI,61,KIBAHA,612,KAWAWA,61214,MIZUGUNI,MATUGA
PWANI,61,KIBAHA,612,KAWAWA,61214,MIZUGUNI,KIMARA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,DUNDA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MWAMBAO
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,TANDIKA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,RAMIYA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MWANAKALENGE
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MAJANI MAPANA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,BENKI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,SOKO JIPYA
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MANGESANI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,SHAURIMOYO
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,KAOLE UFUNDI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MITI MINGI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,BONDENI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MADUKANI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,UKUNI
PWANI,61,BAGAMOYO,613,DUNDA,61301,MIZUGUNI,MTO WA NYANZA
PWANI,61,BAGAMOYO,613,MAGOMENI,61302,MIZUGUNI,MAJI COAST
PWANI,61,BAGAMOYO,613,MAGOMENI,61302,MIZUGUNI,BONG”WA
PWANI,61,BAGAMOYO,613,MAGOMENI,61302,MIZUGUNI,MAGOMENI “C”
PWANI,61,BAGAMOYO,613,MAGOMENI,61302,MIZUGUNI,SANZALE
PWANI,61,BAGAMOYO,613,MAGOMENI,61302,MIZUGUNI,MJI MPYA
PWANI,61,BAGAMOYO,613,KIROMO,61303,MIZUGUNI,KIROMO “A”
PWANI,61,BAGAMOYO,613,KIROMO,61303,MIZUGUNI,KIROMO “B”
PWANI,61,BAGAMOYO,613,KIROMO,61303,MIZUGUNI,MANDAWE
PWANI,61,BAGAMOYO,613,KIROMO,61303,MIZUGUNI,CHAGGA “A”
PWANI,61,BAGAMOYO,613,KIROMO,61303,MIZUGUNI,CHAGGA “B”
