REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,SUMBAWANGA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KASWEPEPE,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,MPASI,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,YESWE,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KAMITA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,TAMBASI,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KATUMA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,MBALIKA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,HIJA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,MAKUTANO,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,UFIPA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,CHISICHA MFIPA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,WAKUUNG'ANGA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,ISACHI,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KASONI,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KIATU,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KIMALAUNGA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KAPUFI,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KATOLILE,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,MOMOKA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,MTUMBUKA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,KATUSA,
RUKWA,55,"SUMBAWANGA
CBD",551,SUMBAWANGA,55101,NGALU,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,HALMASHAURI,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,IZIA,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,MTONI,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,MAKAZA,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,MANZITISWE,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,SHULE,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,BANGWE,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,MASIMBA,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,KATI,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,ZIMAMOTO,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,U/NDEGE,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,BURUDANI,
RUKWA,55,"SUMBAWANGA
CBD",551,IZIA,55102,SOKO,
