REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
RUVUMA,57,SONGEA CBD,571,MJINI,57101,MPAMBALYOTO,
RUVUMA,57,SONGEA CBD,571,MJINI,57101,CCM,
RUVUMA,57,SONGEA CBD,571,MJINI,57101,MAHENGE,
RUVUMA,57,SONGEA CBD,571,MJINI,57101,MASHUJAA,
RUVUMA,57,SONGEA CBD,571,MISUFINI,57102,MABATINI,
RUVUMA,57,SONGEA CBD,571,MISUFINI,57102,MAJIMAJI,
RUVUMA,57,SONGEA CBD,571,MISUFINI,57102,MSIKITINI,
RUVUMA,57,SONGEA CBD,571,MFARANYAKI,57103,MBALIKA,
RUVUMA,57,SONGEA CBD,571,MFARANYAKI,57103,BILAURI,
RUVUMA,57,SONGEA CBD,571,MFARANYAKI,57103,MFARANYAKI,
RUVUMA,57,SONGEA CBD,571,MFARANYAKI,57103,MATOMONDO,
RUVUMA,57,SONGEA CBD,571,MAJENGO,57104,KOTAZI,
RUVUMA,57,SONGEA CBD,571,MAJENGO,57104,MWINYI MKUUMOYO,
RUVUMA,57,SONGEA CBD,571,MAJENGO,57104,MATULI,
RUVUMA,57,SONGEA CBD,571,MATARAWE,57105,MSAFIRI,
RUVUMA,57,SONGEA CBD,571,MATARAWE,57105,SABASABA,
RUVUMA,57,SONGEA CBD,571,MATARAWE,57105,ASIA KOVU,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,POLISI,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,LONDONI,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,SOKONI,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,MLOWEKA,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,KIBULANG’OMA,
RUVUMA,57,SONGEA CBD,571,LIZABONI,57106,MADIZINI,
RUVUMA,57,SONGEA CBD,571,RUVUMA,57107,MBULANI  'A',
RUVUMA,57,SONGEA CBD,571,RUVUMA,57107,RUVUMA JUU,
RUVUMA,57,SONGEA CBD,571,RUVUMA,57107,RUVUMA CHINI,
RUVUMA,57,SONGEA CBD,571,RUVUMA,57107,MBULANI ' B',
RUVUMA,57,SONGEA CBD,571,BOMBAMBILI,57108,MTAKUJA,
RUVUMA,57,SONGEA CBD,571,BOMBAMBILI,57108,MIEMBENI,
RUVUMA,57,SONGEA CBD,571,BOMBAMBILI,57108,MERIKEBU,
RUVUMA,57,SONGEA CBD,571,BOMBAMBILI,57108,SOKOINE,
RUVUMA,57,SONGEA CBD,571,BOMBAMBILI,57108,MUUNGANO,
RUVUMA,57,SONGEA CBD,571,MASHANGANO,57109,MTAA WA CHANDARUA,
RUVUMA,57,SONGEA CBD,571,MASHANGANO,57109,MUHOMBEZI,
RUVUMA,57,SONGEA CBD,571,MASHANGANO,57109,NAMANYIGU,
RUVUMA,57,SONGEA CBD,571,MASHANGANO,57109,MITENDEWAWA,
RUVUMA,57,SONGEA CBD,571,MASHANGANO,57109,MSHANGANO,
RUVUMA,57,SONGEA CBD,571,RUHUWIKO,57110,RUHUWIKO KANISANI,
RUVUMA,57,SONGEA CBD,571,RUHUWIKO,57110,RUHUWIKO SHULENI,
RUVUMA,57,SONGEA CBD,571,RUHUWIKO,57110,NAMANDITI,
RUVUMA,57,SONGEA CBD,571,RUHUWIKO,57110,RUHUIKO 'C',
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,LAMI,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,NGANDULA,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,KIHEKWA,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,SUBIRA KATI,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,NANGWAHI,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,KISIWANI ‘C’,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,MAHINYA,
RUVUMA,57,SONGEA CBD,571,SUBIRA,57111,MUUNGANO,
RUVUMA,57,SONGEA CBD,571,MATOGORO,57112,MTOGORO KATI,
RUVUMA,57,SONGEA CBD,571,MATOGORO,57112,MAHIRO,
RUVUMA,57,SONGEA CBD,571,MATOGORO,57112,MKWAWA,
RUVUMA,57,SONGEA CBD,571,MATOGORO,57112,CHEMCHEM,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,MLETELE,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,MDUNDIKO,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,NONGANONGA,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,LIWUMBU,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,MJIMWEMA,
RUVUMA,57,SONGEA CBD,571,MLETELE,57113,MAKEMBA,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,TANGA,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,MLETE,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,MASIGIRA,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,SANANGULA,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,MITAWA,
RUVUMA,57,SONGEA CBD,571,TANGA,57114,PAMBAZUKO,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,LILAMBO ‘A’,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,LILAMBO “B”,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,MWANAMONGA,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,LIKUYUFUSI,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,SINAI,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,MYEGEYA,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,LUWAWASI,
RUVUMA,57,SONGEA CBD,571,LILAMBO,57115,MANG'UA,
RUVUMA,57,SONGEA CBD,571,NDILIMALITEMBO,57116,MATOGORO SHULENI,
RUVUMA,57,SONGEA CBD,571,NDILIMALITEMBO,57116,MAKAMBI,
RUVUMA,57,SONGEA CBD,571,NDILIMALITEMBO,57116,NDILIMALITEMBO,
RUVUMA,57,SONGEA CBD,571,MSAMALA,57117,MKUZO,
RUVUMA,57,SONGEA CBD,571,MSAMALA,57117,OYSTERBAY,
RUVUMA,57,SONGEA CBD,571,MSAMALA,57117,MIEMBENI,
RUVUMA,57,SONGEA CBD,571,MSAMALA,57117,MAKING'INDA,
RUVUMA,57,SONGEA CBD,571,MSAMALA,57117,MTAUNGANA,
RUVUMA,57,SONGEA CBD,571,SEEDFARM,57118,RUHILA,
RUVUMA,57,SONGEA CBD,571,SEEDFARM,57118,RUHILASEKO,
RUVUMA,57,SONGEA CBD,571,SEEDFARM,57118,KUCHILE,
RUVUMA,57,SONGEA CBD,571,SEEDFARM,57118,UNANGWA,
RUVUMA,57,SONGEA CBD,571,MATEKA,57119,MATEKA ‘A’,
RUVUMA,57,SONGEA CBD,571,MATEKA,57119,MATEKA ‘B’,
RUVUMA,57,SONGEA CBD,571,MATEKA,57119,MATEKE 'C',
