REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
SHINYANGA,37,"SHINYANGA
CBD",371,MJINI,37101,KAUNDA,
SHINYANGA,37,"SHINYANGA
CBD",371,MJINI,37101,BUZUKA,
SHINYANGA,37,"SHINYANGA
CBD",371,MJINI,37101,MITIMIREFU,
SHINYANGA,37,"SHINYANGA
CBD",371,MJINI,37101,VIWANDANI,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,KAMBARAGE,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,JOMU,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,MAJENGO,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,MWASELE A,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,MWASELE B,
SHINYANGA,37,"SHINYANGA
CBD",371,KAMBARAGE,37102,MWASELE MIHOGONI,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,MAGADULA,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,NGOKOLO,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,MWINAMILA,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,KALONGA,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,MWADUI,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,MAGEUZI,
SHINYANGA,37,"SHINYANGA
CBD",371,NGOKOLO,37103,MAJENGO MAPYA,
SHINYANGA,37,"SHINYANGA
CBD",371,CHAMAGUHA,37104,TANESCO,
SHINYANGA,37,"SHINYANGA
CBD",371,CHAMAGUHA,37104,CHAMAGUHA,
SHINYANGA,37,"SHINYANGA
CBD",371,CHAMAGUHA,37104,SANJO,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,KITANGILI,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,BUSULWA,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,IWELYANGULA,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,SONGAMBELE,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,SOKOINE,
SHINYANGA,37,"SHINYANGA
CBD",371,KITANGILI,37105,MAJENGO MAPYA,
SHINYANGA,37,"SHINYANGA
CBD",371,IBINZAMATA,37106,BUGWANDEGE,
SHINYANGA,37,"SHINYANGA
CBD",371,IBINZAMATA,37106,SIDO,
SHINYANGA,37,"SHINYANGA
CBD",371,IBINZAMATA,37106,IBINZAMATA,
SHINYANGA,37,"SHINYANGA
CBD",371,NDALA,37107,BANDUKA,
SHINYANGA,37,"SHINYANGA
CBD",371,NDALA,37107,MLEPA,
SHINYANGA,37,"SHINYANGA
CBD",371,NDALA,37107,NDALA,
SHINYANGA,37,"SHINYANGA
CBD",371,NDALA,37107,MAPINDUZI,
SHINYANGA,37,"SHINYANGA
CBD",371,NDALA,37107,MWABUNDU,
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,BUJINGE
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,MASHARIKI
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,BUSALALA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,RELINI
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,NHELEGANIKATI
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,IWELIMO
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,KASHANDA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,NHELEGANI,MAGWATA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,BUGAYAMBELELE MAGHARIBI
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,NYANHENDE
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,IGALUKILO
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,BULUGALILA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,BUSONGO
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,BUGAYAMBELE,KATUNDA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,MWAMASHELE,MWAKINGA
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,MWAMASHELE,MWAMASHELE
SHINYANGA,37,"SHINYANGA
CBD",371,KIZUMBI,37108,MWAMASHELE,LYANDU
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,NEGEZI,NEGEZI
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,NEGEZI,ISHOSHANDILI
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,NEGEZI,ITONGWANGHOLO
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,NEGEZI,MONGOGWANDAMA
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,MWAWAZA,MWAWAZA
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,MWAWAZA,IMALANGUZU
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,MWAWAZA,NGABULILI
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,MWAWAZA,NSALALA
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,BUGIMBAGU,BUGIMBAGU
SHINYANGA,37,"SHINYANGA
CBD",371,MWAWAZA,37109,BUGIMBAGU,MWALUHENDE
SHINYANGA,37,"SHINYANGA
CBD",371,CHIBE,37111,CHIBE,
SHINYANGA,37,"SHINYANGA
CBD",371,CHIBE,37111,MWALUGOYE,
SHINYANGA,37,"SHINYANGA
CBD",371,CHIBE,37111,BUSAMBILO,
SHINYANGA,37,"SHINYANGA
CBD",371,CHIBE,37111,MWAMAPALALA,
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,MWAMALILI,LYANDU
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,MWAMALILI,MWAKUNDULI.
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,MWAMALILI,MAGWATA
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,MWAMALILI,IHUSHI
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,SESEKO,SESEKO
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,SESEKO,ILUGALA
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,SESEKO,"NHOBORA,"
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,BUSHOLA,"MWAGALA,"
SHINYANGA,37,"SHINYANGA
CBD",371,MWAMALILI,37112,BUSHOLA,BULYAMBULI
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,BUGWETO A,
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,BUGWETO B,
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,MWAGALA,MWAGALA A
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,MWAGALA,"MWAGALA, B"
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,MWAGALA,MWAGALA C
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,IBADAKULI,IBADAKULIKATI
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,IBADAKULI,BUNYANYEMBE
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,IBADAKULI,BUSANYA
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,IBADAKULI,MWAKAILA
SHINYANGA,37,"SHINYANGA
CBD",371,IBADAKULI,37113,IBADAKULI,WILIGWAMABU
