REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
SIMIYU,39,BARIADI,391,BARIADI,39101,VIWANDANI,
SIMIYU,39,BARIADI,391,BARIADI,39101,MAJENGO,
SIMIYU,39,BARIADI,391,BARIADI,39101,KIDINDA,
SIMIYU,39,BARIADI,391,BARIADI,39101,BUZUNZA,
SIMIYU,39,BARIADI,391,BARIADI,39101,NYANGAKA,
SIMIYU,39,BARIADI,391,BARIADI,39101,BARIADI,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,BUNAMHALA,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,SONGAMBELE,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,KIDALIMANDA,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,ITONGO,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,MWAMHUBA,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,IMALILO,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,MAHAHA,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,ISANZU,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,KILULU,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,MWANZIMBILA,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,GIRIKU,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,SAKAYI,
SIMIYU,39,BARIADI,391,BUNAMHALA,39102,NG'WAKIBOLO,
SIMIYU,39,BARIADI,391,SOMANDA,39103,YOMA,
SIMIYU,39,BARIADI,391,SOMANDA,39103,NYAMHIMBI,
SIMIYU,39,BARIADI,391,SOMANDA,39103,IZUNYA,
SIMIYU,39,BARIADI,391,SOMANDA,39103,BOMANI,
SIMIYU,39,BARIADI,391,SOMANDA,39103,SOMANDA,
SIMIYU,39,BARIADI,391,SOMANDA,39103,NTUZU,
SIMIYU,39,BARIADI,391,SOMANDA,39103,KISIWANI,
SIMIYU,39,BARIADI,391,SOMANDA,39103,SANUNGU,
SIMIYU,39,BARIADI,391,SOMANDA,39103,NYAUMATA,
SIMIYU,39,BARIADI,391,SOMANDA,39103,MAHINA,
SIMIYU,39,BARIADI,391,SIMA,39104,SOKONI,
SIMIYU,39,BARIADI,391,SIMA,39104,SALUNDA,
SIMIYU,39,BARIADI,391,SIMA,39104,LYALU,
SIMIYU,39,BARIADI,391,SIMA,39104,SIMA,
SIMIYU,39,BARIADI,391,SIMA,39104,BUDEKA,
SIMIYU,39,BARIADI,391,SIMA,39104,BUTIAMA,
SIMIYU,39,BARIADI,391,SIMA,39104,NG'WASWALE,
SIMIYU,39,BARIADI,391,MALAMBO,39105,VODA,
SIMIYU,39,BARIADI,391,MALAMBO,39105,SIMA JUU,
SIMIYU,39,BARIADI,391,MALAMBO,39105,MALAMBO,
SIMIYU,39,BARIADI,391,MALAMBO,39105,BENKI,
SIMIYU,39,BARIADI,391,MALAMBO,39105,GITOYA,
SIMIYU,39,BARIADI,391,MALAMBO,39105,NGASHANDA,
SIMIYU,39,BARIADI,391,SAKWE,39106,SAKWE,SAKWE MADUKANI
SIMIYU,39,BARIADI,391,SAKWE,39106,SAKWE,MWABULYOCHI
SIMIYU,39,BARIADI,391,SAKWE,39106,SAKWE,SONGAMBELE
SIMIYU,39,BARIADI,391,SAKWE,39106,SAKWE,MWAGALA
