REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
SINGIDA,43,SINGIDA CBD,431,UTEMINI,43101,UTEMINI,
SINGIDA,43,SINGIDA CBD,431,UTEMINI,43101,STATION,
SINGIDA,43,SINGIDA CBD,431,UTEMINI,43101,SABASABA,
SINGIDA,43,SINGIDA CBD,431,MUGHANGA,43102,BOMANI,
SINGIDA,43,SINGIDA CBD,431,MUGHANGA,43102,MJI WA ZAMANI,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,MITUNDURUNI,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,UNYANKINDI,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,MANGUAMITOGHO,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,KASEMBE,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,MSUFUNI,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,BIMA,
SINGIDA,43,SINGIDA CBD,431,MITUNDURUNI,43103,N.H.C.,
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA A,MKWIO
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA A,NKUMBANDII
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA A,MATUTU
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA B,MIFUMBU
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA B,MAKYUNJE
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTAMAA B,MGHISIU
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MTISI,
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,MNYITUKA,
SINGIDA,43,SINGIDA CBD,431,MTAMAA,43104,KIMAI,
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANDEWA,UNYAKUMI
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANDEWA,UNYINGA
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANDEWA,MAGWE
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANDEWA,UWANJA WA NDEGE
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANGUANJUKI,NJUKI
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANGUANJUKI,MKARATUSI
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MANGUANJUKI,NKUKU
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,MWAJA,
SINGIDA,43,SINGIDA CBD,431,MANDEWA,43105,UNYANKHAE,
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,ISOMIA,
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO A,IKUSI A
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO A,MUNYINGA
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO A,MUGHUMO
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO A,MWACHICHI
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO A,DARAJANI
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO B,KITOPE DARAJANI
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO B,NKUWI MBUYUNI
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO B,MISUNA
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO B,MISIMIHI
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MWANKOKO B,IKUSI B
SINGIDA,43,SINGIDA CBD,431,MWANKOKO,43106,MAKUNGU,
SINGIDA,43,SINGIDA CBD,431,MUNGUMAJI,43107,MUNGUMAJI,MUNGUMAJI
SINGIDA,43,SINGIDA CBD,431,MUNGUMAJI,43107,MUNGUMAJI,MKESE
SINGIDA,43,SINGIDA CBD,431,MUNGUMAJI,43107,MUNGUMAJI,NKUHI
