REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
SONGWE,54,SONGWE,541,GUA,54101,GUA,GUA  A
SONGWE,54,SONGWE,541,GUA,54101,GUA,GUA   E
SONGWE,54,SONGWE,541,GUA,54101,GUA,GUA   F
SONGWE,54,SONGWE,541,GUA,54101,GUA,KATAVI   A
SONGWE,54,SONGWE,541,GUA,54101,GUA,KATAVI   B
SONGWE,54,SONGWE,541,GUA,54101,GUA,KATAVI   C
SONGWE,54,SONGWE,541,GUA,54101,GUA,KATAVI  D
SONGWE,54,SONGWE,541,GUA,54101,GUA,KAKOMA
SONGWE,54,SONGWE,541,GUA,54101,GUA,SONGAMBELE
SONGWE,54,SONGWE,541,GUA,54101,GUA,MANDA JUU.
SONGWE,54,SONGWE,541,GUA,54101,SOME,SOME   A
SONGWE,54,SONGWE,541,GUA,54101,SOME,SOME   B
SONGWE,54,SONGWE,541,GUA,54101,SOME,SOME   C
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,NGWALA KATI  A
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,NGWALA KATI  B
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,KAMFICHENI
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,MAJENGO
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,AZIMIO
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,NGWALA MAGHARIBI
SONGWE,54,SONGWE,541,NGWALA,54102,NGWALA,MADODOMYA
SONGWE,54,SONGWE,541,NGWALA,54102,ITIZIRO,KIKAMBA
SONGWE,54,SONGWE,541,NGWALA,54102,ITIZIRO,ITIZIRO
SONGWE,54,SONGWE,541,NGWALA,54102,ITIZIRO,KISERUKA
SONGWE,54,SONGWE,541,KAPALALA,54103,KAPALALA,KAPALALA A
SONGWE,54,SONGWE,541,KAPALALA,54103,KAPALALA,KAPALALA B
SONGWE,54,SONGWE,541,KAPALALA,54103,KAPALALA,KAPALALA C
SONGWE,54,SONGWE,541,KAPALALA,54103,KAPALALA,KININGA
SONGWE,54,SONGWE,541,KAPALALA,54103,KAPALALA,MTEKA
SONGWE,54,SONGWE,541,KAPALALA,54103,UDINDE,IBOMA
SONGWE,54,SONGWE,541,KAPALALA,54103,UDINDE,IPONGA
SONGWE,54,SONGWE,541,KAPALALA,54103,UDINDE,MKUMBILI
SONGWE,54,SONGWE,541,KAPALALA,54103,UDINDE,NYERERE
SONGWE,54,SONGWE,541,KAPALALA,54103,UDINDE,ULAYA
SONGWE,54,SONGWE,541,KAPALALA,54103,RUKWA,ITUMBI
SONGWE,54,SONGWE,541,KAPALALA,54103,RUKWA,IZOSHA
SONGWE,54,SONGWE,541,KAPALALA,54103,RUKWA,MBIZYA
SONGWE,54,SONGWE,541,MBANGALA,54104,MBANGALA,MBANGALA  A
SONGWE,54,SONGWE,541,MBANGALA,54104,MBANGALA,MBANGALA  B
SONGWE,54,SONGWE,541,MBANGALA,54104,MBANGALA,MGOMBA
SONGWE,54,SONGWE,541,MBANGALA,54104,MBANGALA,ICHESE
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,LUTUMBI  A
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,LUTUMBI  B
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,MALEZA JUU
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,MTOTO JUU
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,MADIZINI
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,KALANDA
SONGWE,54,SONGWE,541,MBANGALA,54104,MALEZA,SAZA FALLS
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,SAZA KATI
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,MAKAMBINI
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,BWANA MZUNGU
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,KIBAONI
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,BWAWANI
SONGWE,54,SONGWE,541,SAZA,54105,SAZA,MIEMBENI
SONGWE,54,SONGWE,541,SAZA,54105,PATAMELA,MJINI
SONGWE,54,SONGWE,541,SAZA,54105,PATAMELA,MBUGANI
SONGWE,54,SONGWE,541,SAZA,54105,PATAMELA,MAWOWO
SONGWE,54,SONGWE,541,SAZA,54105,PATAMELA,SHULENI
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MKWAJUNI,MKWAJUNI  A
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MKWAJUNI,MKWAJUNI  B
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MKWAJUNI,KAMFICHENI  A
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MKWAJUNI,KAMFICHENI  B
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MKWAJUNI,MNAZIMMOJA.
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MAJENGO,MAJENGO
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MAJENGO,MAGEREZA
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MAJENGO,MBUGANI
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MAJENGO,MORAVIAN
SONGWE,54,SONGWE,541,MKWAJUNI,54106,MAJENGO,KIMBOROKOTO
SONGWE,54,SONGWE,541,MKWAJUNI,54106,CHUDECO,CHUDECO
SONGWE,54,SONGWE,541,MKWAJUNI,54106,CHUDECO,OSTERBAY
SONGWE,54,SONGWE,541,MKWAJUNI,54106,CHUDECO,ITONTERA
SONGWE,54,SONGWE,541,MKWAJUNI,54106,CHUDECO,MAWENI
SONGWE,54,SONGWE,541,MKWAJUNI,54106,CHUDECO,MELERANI
SONGWE,54,SONGWE,541,MKWAJUNI,54106,KALOLENI,KALOLENI
SONGWE,54,SONGWE,541,MKWAJUNI,54106,KALOLENI,KIKUYU
SONGWE,54,SONGWE,541,MKWAJUNI,54106,KALOLENI,KALUNGU
SONGWE,54,SONGWE,541,MKWAJUNI,54106,KALOLENI,ILEPUKA
SONGWE,54,SONGWE,541,MWAMBANI,54107,MWAMBANI,LUTUMBI
SONGWE,54,SONGWE,541,MWAMBANI,54107,MWAMBANI,KALIMA
SONGWE,54,SONGWE,541,MWAMBANI,54107,MWAMBANI,KABONDE
