REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
TABORA,45,TABORA CBD,451,NG'AMBO,45101,TUKUTUKU,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KAZEHIL,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,TABORA GIRLS,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KIYUNGI,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MPEPO,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KALINGONJI,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MILAMBO,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MASEMPELE,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KAPAYA,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MBILANI,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MKAONI,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KWIHARA,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,MLIMANI,
TABORA,45,TABORA CBD,451,NG'AMBO,45101,KIZIGO,
TABORA,45,TABORA CBD,451,KITETE,45102,HOSPITAL,
TABORA,45,TABORA CBD,451,KITETE,45102,NEW NHC,
TABORA,45,TABORA CBD,451,KITETE,45102,COMMUNITY,
TABORA,45,TABORA CBD,451,KITETE,45102,OLD NHC,
TABORA,45,TABORA CBD,451,KITETE,45102,SHULE,
TABORA,45,TABORA CBD,451,KITETE,45102,FILTER,
TABORA,45,TABORA CBD,451,KITETE,45102,KIJIWENI,
TABORA,45,TABORA CBD,451,KITETE,45102,KIGAMBONI,
TABORA,45,TABORA CBD,451,KITETE,45102,KALIAKOO,
TABORA,45,TABORA CBD,451,MALOLO,45103,UGUNDU,
TABORA,45,TABORA CBD,451,MALOLO,45103,URBAN QUARTER,
TABORA,45,TABORA CBD,451,MALOLO,45103,MIEMBA,
TABORA,45,TABORA CBD,451,MALOLO,45103,KANYENYE,
TABORA,45,TABORA CBD,451,MALOLO,45103,CHANG'OMBE,
TABORA,45,TABORA CBD,451,MALOLO,45103,KOMBOMASAI,
TABORA,45,TABORA CBD,451,MALOLO,45103,ULAMBA,
TABORA,45,TABORA CBD,451,MBUGANI,45104,MWANZAROAD,
TABORA,45,TABORA CBD,451,MBUGANI,45104,KAMNA,
TABORA,45,TABORA CBD,451,MBUGANI,45104,SUKUMA,
TABORA,45,TABORA CBD,451,MBUGANI,45104,USULE,
TABORA,45,TABORA CBD,451,MBUGANI,45104,LUMALIZA,
TABORA,45,TABORA CBD,451,MBUGANI,45104,KHERI,
TABORA,45,TABORA CBD,451,MBUGANI,45104,KIJIWENI,
TABORA,45,TABORA CBD,451,MBUGANI,45104,SHULE,
TABORA,45,TABORA CBD,451,MBUGANI,45104,MINAZIMIKINDA,
TABORA,45,TABORA CBD,451,MBUGANI,45104,MIHOGONI,
TABORA,45,TABORA CBD,451,MBUGANI,45104,KAZAROHO,
TABORA,45,TABORA CBD,451,MTENEDENI,45105,MWANZO,
TABORA,45,TABORA CBD,451,MTENEDENI,45105,MAKUNGA,
TABORA,45,TABORA CBD,451,MTENEDENI,45105,MKINGA,
TABORA,45,TABORA CBD,451,MTENEDENI,45105,IKINDWA,
TABORA,45,TABORA CBD,451,MTENEDENI,45105,KIDATU A,
