REGION,POSTCODE,DISTRICT,POSTCODE,WARD,POSTCODE,STREET,PLACES
TANGA,21,TANGA CBD,211,CENTRAL,21101,RASKAZONE,
TANGA,21,TANGA CBD,211,CENTRAL,21101,BOMBO AREA,
TANGA,21,TANGA CBD,211,CENTRAL,21101,AMBAONI ROAD,
TANGA,21,TANGA CBD,211,CENTRAL,21101,DARAJANI,
TANGA,21,TANGA CBD,211,CENTRAL,21101,SAKARANI,
TANGA,21,TANGA CBD,211,CENTRAL,21101,POSTA,
TANGA,21,TANGA CBD,211,CENTRAL,21101,CENTRAL,
TANGA,21,TANGA CBD,211,CENTRAL,21101,NEW HOTEL,
TANGA,21,TANGA CBD,211,CENTRAL,21101,HALMASHAURI YA JIJI,
TANGA,21,TANGA CBD,211,CENTRAL,21101,MIAKA 21,
TANGA,21,TANGA CBD,211,CENTRAL,21101,RAILWAYS,
TANGA,21,TANGA CBD,211,MZINGANI,21102,MZINGANI,
TANGA,21,TANGA CBD,211,MZINGANI,21102,SAHARE,
TANGA,21,TANGA CBD,211,MZINGANI,21102,MUHEZA,
TANGA,21,TANGA CBD,211,MZINGANI,21102,SUJI,
TANGA,21,TANGA CBD,211,MZINGANI,21102,MAJENGO MAPYA,
TANGA,21,TANGA CBD,211,MZINGANI,21102,MBOLEA,
TANGA,21,TANGA CBD,211,MZINGANI,21102,BONDENI,
TANGA,21,TANGA CBD,211,MZINGANI,21102,MSIKITINI,
TANGA,21,TANGA CBD,211,USAGARA,21103,"USAGARA ""C""",
TANGA,21,TANGA CBD,211,USAGARA,21103,"USAGARA ""A""",
TANGA,21,TANGA CBD,211,USAGARA,21103,USAGARA KATI,
TANGA,21,TANGA CBD,211,USAGARA,21103,USAGARA KIJIJI,
TANGA,21,TANGA CBD,211,USAGARA,21103,"USAGARA ""B""",
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,ASKARI,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,KARAFUU,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,LUMUMBA,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,MAKOKO,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,MKWAKWANI,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,MAUA,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,SWAHILI,
TANGA,21,TANGA CBD,211,NGAMIANI KASKAZINI,21104,PANGANI ROAD,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,SWAHILI,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,KARAFUU,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,LUMUMBA,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,MAKOKO,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,MKWAKWANI,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,MAUA,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,MSIKITI,
TANGA,21,TANGA CBD,211,NGAMIANI KATI,21105,TAIFA ROAD,
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"JAMHURI ""A""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"JAMHURI ""B""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"MAPINDUZI ""A""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"MAPINDUZI ""B""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"MUUNGANO ""A""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"MUUNGANO ""B""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"AZIMIO ""A""",
TANGA,21,TANGA CBD,211,NGAMIANI KUSINI,21106,"AZIMIO ""B""",
TANGA,21,TANGA CBD,211,MAJENGO,21107,CHUDA QUARTERS,
TANGA,21,TANGA CBD,211,MAJENGO,21107,CHUDA YOUTH,
TANGA,21,TANGA CBD,211,MAJENGO,21107,KANISANI,
TANGA,21,TANGA CBD,211,MAJENGO,21107,MASIWANI,
TANGA,21,TANGA CBD,211,MAJENGO,21107,UMBA,
TANGA,21,TANGA CBD,211,MAJENGO,21107,CHUDA RELI,
TANGA,21,TANGA CBD,211,MAJENGO,21107,TEMBO BAR,
TANGA,21,TANGA CBD,211,MAJENGO,21107,FADHILA,
TANGA,21,TANGA CBD,211,MAJENGO,21107,TANGULIA,
TANGA,21,TANGA CBD,211,MAJENGO,21107,TAWAKALI,
TANGA,21,TANGA CBD,211,CHUMBAGENI,21108,KOTAZI,
TANGA,21,TANGA CBD,211,CHUMBAGENI,21108,TUMAINI,
TANGA,21,TANGA CBD,211,CHUMBAGENI,21108,KISOSORA KUSINI,
